miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	86660	12803.762468	N
hsa-let-7a-2	86572	12790.760725	Y
hsa-let-7a-3	87105	12869.509921	N
hsa-let-7b	142300	21024.410330	N
hsa-let-7c	13834	2043.933187	Y
hsa-let-7d	4051	598.523445	N
hsa-let-7e	6978	1030.979166	N
hsa-let-7f-1	35730	5279.003381	N
hsa-let-7f-2	36347	5370.163333	N
hsa-let-7g	5163	762.818205	N
hsa-let-7i	2664	393.598237	N
hsa-mir-1-1	60	8.864825	N
hsa-mir-1-2	71	10.490043	N
hsa-mir-100	55323	8173.812036	Y
hsa-mir-101-1	74411	10994.008412	N
hsa-mir-101-2	75212	11112.353828	N
hsa-mir-103a-1	53880	7960.612991	Y
hsa-mir-103a-2	54537	8057.682826	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	232	34.277324	N
hsa-mir-105-2	223	32.947600	N
hsa-mir-106a	24	3.545930	Y
hsa-mir-106b	3507	518.149030	N
hsa-mir-107	646	95.444618	Y
hsa-mir-10a	202701	29948.482069	N
hsa-mir-10b	292150	43164.311159	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.147747	N
hsa-mir-1180	83	12.263008	N
hsa-mir-1181	2	0.295494	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.295494	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	102147	15091.921588	N
hsa-mir-1224	2	0.295494	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.886483	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	4.432413	N
hsa-mir-1229	4	0.590988	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.329724	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	170	25.117005	N
hsa-mir-1248	9	1.329724	N
hsa-mir-1249	17	2.511700	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.295494	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.147747	N
hsa-mir-125a	3473	513.125629	N
hsa-mir-125b-1	1645	243.043956	N
hsa-mir-125b-2	1811	267.569973	N
hsa-mir-126	51932	7672.801667	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.147747	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.772965	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.147747	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	1.625218	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11286	1667.473612	N
hsa-mir-1269b	15	2.216206	N
hsa-mir-127	7257	1072.200603	N
hsa-mir-1270	9	1.329724	N
hsa-mir-1271	28	4.136918	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
