miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	46158	6476.678667	N
hsa-let-7a-2	45702	6412.694840	N
hsa-let-7a-3	46169	6478.222136	N
hsa-let-7b	33530	4704.775677	N
hsa-let-7c	1734	243.306920	N
hsa-let-7d	2196	308.132639	N
hsa-let-7e	2461	345.316223	N
hsa-let-7f-1	36312	5095.133146	N
hsa-let-7f-2	36567	5130.913575	N
hsa-let-7g	2425	340.264868	N
hsa-let-7i	1210	169.781645	N
hsa-mir-1-1	20	2.806308	N
hsa-mir-1-2	13	1.824100	N
hsa-mir-100	59835	8395.772521	N
hsa-mir-101-1	40220	5643.485766	N
hsa-mir-101-2	40615	5698.910353	N
hsa-mir-103a-1	52957	7430.683135	Y
hsa-mir-103a-2	53267	7474.180912	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.140315	N
hsa-mir-106a	31	4.349778	Y
hsa-mir-106b	3118	437.503446	N
hsa-mir-107	853	119.689044	Y
hsa-mir-10a	24560	3446.146455	N
hsa-mir-10b	156268	21926.808396	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	244	34.236960	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	121448	17041.025840	N
hsa-mir-1224	3	0.420946	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.982208	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	38	5.331986	N
hsa-mir-1229	3	0.420946	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
