miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43476	16437.753295	N
hsa-let-7a-2	43016	16263.832822	Y
hsa-let-7a-3	43558	16468.756510	N
hsa-let-7b	62066	23466.408962	N
hsa-let-7c	17111	6469.463535	Y
hsa-let-7d	2265	856.369289	N
hsa-let-7e	4565	1725.971658	N
hsa-let-7f-1	15803	5974.924449	N
hsa-let-7f-2	16458	6222.572080	N
hsa-let-7g	1440	544.446700	N
hsa-let-7i	1174	443.875296	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	2	0.756176	N
hsa-mir-100	959	362.586379	N
hsa-mir-101-1	9735	3680.686547	N
hsa-mir-101-2	9716	3673.502876	N
hsa-mir-103a-1	41139	15554.161671	Y
hsa-mir-103a-2	41185	15571.553719	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	735	277.894670	N
hsa-mir-105-2	704	266.173942	N
hsa-mir-106a	8	3.024704	Y
hsa-mir-106b	4474	1691.565651	N
hsa-mir-107	241	91.119205	Y
hsa-mir-10a	22254	8413.970049	N
hsa-mir-10b	7057	2668.166920	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.378088	N
hsa-mir-1180	302	114.182572	N
hsa-mir-1181	1	0.378088	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	21850	8261.222502	N
hsa-mir-1224	21	7.939848	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.512352	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.134264	N
hsa-mir-1229	4	1.512352	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.378088	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	13.233080	N
hsa-mir-1248	6	2.268528	N
hsa-mir-1249	16	6.049408	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.378088	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.378088	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.756176	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.378088	N
hsa-mir-125a	2794	1056.377834	N
hsa-mir-125b-1	678	256.343655	N
hsa-mir-125b-2	829	313.434941	N
hsa-mir-126	9581	3622.460997	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	9.074112	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	240	90.741117	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	31	11.720728	N
hsa-mir-1269b	8182	3093.515904	N
hsa-mir-127	1183	447.278088	N
hsa-mir-1270	14	5.293232	N
hsa-mir-1271	2	0.756176	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.378088	N
hsa-mir-1277	6	2.268528	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	444	167.871066	N
hsa-mir-128-2	302	114.182572	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	4	1.512352	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	204	77.129949	N
hsa-mir-1288	2	0.756176	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	2.268528	N
hsa-mir-129-2	2	0.756176	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.378088	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	32	12.098816	N
hsa-mir-1296	6	2.268528	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	212	80.154653	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	2.268528	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	123	46.504822	N
hsa-mir-1307	9131	3452.321404	N
hsa-mir-130a	24	9.074112	N
hsa-mir-130b	234	88.472589	N
hsa-mir-132	202	76.373773	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	2.268528	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	1	0.378088	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	595	224.962352	N
hsa-mir-1343	6	2.268528	N
hsa-mir-135a-1	6	2.268528	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	1	0.378088	N
hsa-mir-136	25	9.452200	N
hsa-mir-137	7	2.646616	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	107	40.455415	N
hsa-mir-140	3603	1362.251015	N
hsa-mir-141	30	11.342640	N
hsa-mir-142	7291	2756.639509	N
hsa-mir-143	57836	21867.096780	N
hsa-mir-144	134	50.663790	N
hsa-mir-145	796	300.958037	N
hsa-mir-1468	17	6.427496	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	184	69.568189	N
hsa-mir-146b	2176	822.719458	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	14	5.293232	N
hsa-mir-148a	144525	54643.166230	N
hsa-mir-148b	923	348.975211	N
hsa-mir-149	134	50.663790	N
hsa-mir-150	385	145.563875	N
hsa-mir-151a	8987	3397.876733	N
hsa-mir-151b	1	0.378088	N
hsa-mir-152	2032	768.274788	N
hsa-mir-153-1	3	1.134264	N
hsa-mir-153-2	20	7.561760	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.378088	N
hsa-mir-1539	1	0.378088	N
hsa-mir-154	7	2.646616	N
hsa-mir-155	832	314.569205	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	521	196.983841	N
hsa-mir-15b	3063	1158.083502	N
hsa-mir-16-1	1442	545.202876	N
hsa-mir-16-2	1481	559.948308	N
hsa-mir-17	1637	618.930034	Y
hsa-mir-181a-1	1279	483.574535	N
hsa-mir-181a-2	5761	2178.164889	N
hsa-mir-181b-1	491	185.641201	N
hsa-mir-181b-2	506	191.312521	N
hsa-mir-181c	41	15.501607	N
hsa-mir-181d	26	9.830288	N
hsa-mir-182	66288	25062.696440	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	43642	16500.515901	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	346	130.818443	N
hsa-mir-186	1871	707.402622	N
hsa-mir-187	15	5.671320	N
hsa-mir-188	29	10.964552	N
hsa-mir-18a	18	6.805584	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	2	0.756176	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	9	3.402792	N
hsa-mir-190b	27	10.208376	N
hsa-mir-191	2319	876.786040	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	5	1.890440	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.378088	N
hsa-mir-1915	1	0.378088	N
hsa-mir-192	108554	41042.963272	Y
hsa-mir-193a	1389	525.164213	N
hsa-mir-193b	262	99.059052	N
hsa-mir-194-1	13476	5095.113704	N
hsa-mir-194-2	15104	5710.640946	N
hsa-mir-195	112	42.345854	N
hsa-mir-196a-1	12	4.537056	N
hsa-mir-196a-2	5	1.890440	N
hsa-mir-196b	352	133.086971	N
hsa-mir-197	2342	885.482064	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	24	9.074112	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	405	153.125634	Y
hsa-mir-199a-2	758	286.590694	Y
hsa-mir-199b	921	348.219035	Y
hsa-mir-19a	28	10.586464	N
hsa-mir-19b-1	83	31.381303	N
hsa-mir-19b-2	60	22.685279	N
hsa-mir-200a	2310	873.383249	N
hsa-mir-200b	1183	447.278088	N
hsa-mir-200c	108	40.833503	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	149	56.335110	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	29	10.964552	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	7	2.646616	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	504	190.556345	N
hsa-mir-20b	13	4.915144	N
hsa-mir-21	755129	285505.203058	N
hsa-mir-210	40483	15306.135952	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	15	5.671320	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	1.134264	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	4	1.512352	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	19	7.183672	N
hsa-mir-214	5	1.890440	N
hsa-mir-215	714	269.954822	Y
hsa-mir-216a	3	1.134264	N
hsa-mir-216b	12	4.537056	N
hsa-mir-217	265	100.193316	N
hsa-mir-218-1	27	10.208376	N
hsa-mir-218-2	17	6.427496	N
hsa-mir-219a-1	14	5.293232	N
hsa-mir-219a-2	1	0.378088	N
hsa-mir-219b	10	3.780880	N
hsa-mir-22	138759	52463.110900	N
hsa-mir-221	202	76.373773	N
hsa-mir-222	71	26.844247	N
hsa-mir-223	2767	1046.169458	N
hsa-mir-224	1003	379.222250	N
hsa-mir-2276	8	3.024704	N
hsa-mir-2277	4	1.512352	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	132	49.907614	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5997	2267.393654	Y
hsa-mir-23b	4559	1723.703130	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	2057	777.726988	N
hsa-mir-24-2	1942	734.246870	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	63435	23984.011415	N
hsa-mir-2681	13	4.915144	N
hsa-mir-2682	1	0.378088	N
hsa-mir-26a-1	2489	941.060998	N
hsa-mir-26a-2	2495	943.329526	N
hsa-mir-26b	5756	2176.274450	N
hsa-mir-27a	2017	762.603469	Y
hsa-mir-27b	4394	1661.318612	Y
hsa-mir-28	19467	7360.238831	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	2	0.756176	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	12	4.537056	N
hsa-mir-29a	10949	4139.685363	N
hsa-mir-29b-1	290	109.645516	N
hsa-mir-29b-2	315	119.097716	Y
hsa-mir-29c	1049	396.614298	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	63	23.819543	N
hsa-mir-301b	5	1.890440	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.378088	N
hsa-mir-3065	46	17.392047	N
hsa-mir-3074	434	164.090186	N
hsa-mir-30a	13219	4997.945092	Y
hsa-mir-30b	1300	491.514382	Y
hsa-mir-30c-1	637	240.842047	Y
hsa-mir-30c-2	637	240.842047	N
hsa-mir-30d	29143	11018.618187	N
hsa-mir-30e	61801	23366.215646	Y
hsa-mir-31	0	0.000000	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	2	0.756176	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	46	17.392047	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.378088	N
hsa-mir-3130-1	20	7.561760	N
hsa-mir-3130-2	19	7.183672	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	1	0.378088	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	11	4.158968	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	0.756176	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	7	2.646616	N
hsa-mir-3145	5	1.890440	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.378088	N
hsa-mir-3150b	7	2.646616	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	1	0.378088	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.378088	N
hsa-mir-3158-1	1	0.378088	N
hsa-mir-3158-2	1	0.378088	N
hsa-mir-3159	1	0.378088	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	21	7.939848	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	38	14.367343	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	7	2.646616	N
hsa-mir-3174	2	0.756176	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	4	1.512352	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	1	0.378088	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	11	4.158968	N
hsa-mir-3188	1	0.378088	N
