miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29027	7180.345736	N
hsa-let-7a-2	28713	7102.672240	Y
hsa-let-7a-3	29094	7196.919380	N
hsa-let-7b	31455	7780.954805	N
hsa-let-7c	7353	1818.895587	Y
hsa-let-7d	1160	286.946672	N
hsa-let-7e	3408	843.029533	N
hsa-let-7f-1	9670	2392.046828	N
hsa-let-7f-2	9966	2465.267703	N
hsa-let-7g	1977	489.046182	N
hsa-let-7i	1294	320.093960	N
hsa-mir-1-1	39	9.647345	N
hsa-mir-1-2	40	9.894713	N
hsa-mir-100	46433	11486.030026	N
hsa-mir-101-1	43700	10809.973772	N
hsa-mir-101-2	45008	11133.530881	N
hsa-mir-103a-1	79524	19671.678586	Y
hsa-mir-103a-2	80145	19825.294003	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	1.731575	N
hsa-mir-105-2	8	1.978943	N
hsa-mir-106a	30	7.421035	Y
hsa-mir-106b	1392	344.336007	N
hsa-mir-107	381	94.247140	Y
hsa-mir-10a	297534	73600.337212	N
hsa-mir-10b	26130	6463.721159	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	32	7.915770	N
hsa-mir-1181	1	0.247368	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.494736	N
hsa-mir-1185-2	2	0.494736	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	74287	18376.213308	N
hsa-mir-1224	1	0.247368	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.494736	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.731575	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.247368	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
