miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	70481	14098.695469	N
hsa-let-7a-2	70672	14136.902232	Y
hsa-let-7a-3	71109	14224.317704	N
hsa-let-7b	49437	9889.150380	N
hsa-let-7c	30501	6101.279927	Y
hsa-let-7d	1801	360.263767	N
hsa-let-7e	5034	1006.978235	N
hsa-let-7f-1	33948	6790.801972	N
hsa-let-7f-2	35209	7043.046619	N
hsa-let-7g	4820	964.170658	N
hsa-let-7i	1529	305.854136	N
hsa-mir-1-1	63	12.602231	N
hsa-mir-1-2	58	11.602054	N
hsa-mir-100	44652	8931.980961	N
hsa-mir-101-1	44460	8893.574163	N
hsa-mir-101-2	45392	9080.007161	N
hsa-mir-103a-1	98648	19733.092757	Y
hsa-mir-103a-2	98097	19622.873249	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.200035	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	23	4.600814	Y
hsa-mir-106b	1556	311.255092	N
hsa-mir-107	1258	251.644541	Y
hsa-mir-10a	39752	7951.807470	N
hsa-mir-10b	22891	4579.010485	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.400071	N
hsa-mir-1180	109	21.803859	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.200035	N
hsa-mir-1185-2	1	0.200035	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.200035	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	137502	27505.268433	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.000177	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	2.600460	N
hsa-mir-1229	2	0.400071	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.200035	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	60	12.002124	N
hsa-mir-1248	1	0.200035	N
hsa-mir-1249	5	1.000177	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.400071	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.400071	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.200035	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.200035	N
hsa-mir-125a	1748	349.661890	N
hsa-mir-125b-1	3080	616.109051	N
hsa-mir-125b-2	3469	693.922824	N
hsa-mir-126	25848	5170.515181	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.200212	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.800319	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1838	367.665077	N
hsa-mir-1269b	2	0.400071	N
hsa-mir-127	8190	1638.289977	N
hsa-mir-1270	3	0.600106	N
hsa-mir-1271	8	1.600283	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.200035	N
hsa-mir-1276	2	0.400071	N
hsa-mir-1277	8	1.600283	N
hsa-mir-1278	2	0.400071	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	771	154.227298	N
hsa-mir-128-2	491	98.217384	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.200035	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	222	44.407860	N
hsa-mir-1288	1	0.200035	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.200035	N
hsa-mir-129-2	3	0.600106	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.200035	N
hsa-mir-1292	1	0.200035	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.200035	N
hsa-mir-1295a	4	0.800142	N
hsa-mir-1295b	85	17.003010	N
hsa-mir-1296	12	2.400425	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	36	7.201275	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.800142	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	64	12.802266	N
hsa-mir-1307	10209	2042.161463	N
hsa-mir-130a	174	34.806161	N
hsa-mir-130b	121	24.204284	N
hsa-mir-132	503	100.617809	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	21	4.200744	N
