miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38811	5541.327803	N
hsa-let-7a-2	38775	5536.187822	Y
hsa-let-7a-3	39038	5573.738238	N
hsa-let-7b	8825	1260.009221	N
hsa-let-7c	14622	2087.688932	Y
hsa-let-7d	770	109.938482	N
hsa-let-7e	1762	251.573512	N
hsa-let-7f-1	21883	3124.394535	N
hsa-let-7f-2	22303	3184.360980	N
hsa-let-7g	4095	584.672834	N
hsa-let-7i	860	122.788434	N
hsa-mir-1-1	6	0.856663	N
hsa-mir-1-2	7	0.999441	N
hsa-mir-100	14742	2104.822202	Y
hsa-mir-101-1	80254	11458.445324	N
hsa-mir-101-2	81585	11648.481842	N
hsa-mir-103a-1	108314	15464.774925	Y
hsa-mir-103a-2	109270	15601.269975	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2343	334.527094	N
hsa-mir-105-2	2372	338.667634	N
hsa-mir-106a	83	11.850512	Y
hsa-mir-106b	4449	635.215980	N
hsa-mir-107	1097	156.626642	Y
hsa-mir-10a	22278	3180.791549	N
hsa-mir-10b	66556	9502.682570	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.142777	N
hsa-mir-1180	329	46.973715	N
hsa-mir-1181	3	0.428332	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.142777	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	159504	22773.542291	N
hsa-mir-1224	12	1.713327	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.427772	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	2.569990	N
hsa-mir-1229	13	1.856104	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.285554	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.142777	N
hsa-mir-1247	10	1.427772	N
hsa-mir-1248	5	0.713886	N
hsa-mir-1249	1	0.142777	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.428332	N
hsa-mir-1252	1	0.142777	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.285554	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	27	3.854986	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.428332	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	786	112.222918	N
hsa-mir-125b-1	2061	294.263910	N
hsa-mir-125b-2	2296	327.816563	N
