miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	95863	16805.336448	N
hsa-let-7a-2	96143	16854.422062	Y
hsa-let-7a-3	95795	16793.415656	N
hsa-let-7b	143357	25131.308400	N
hsa-let-7c	38550	6758.037200	Y
hsa-let-7d	3857	676.154331	N
hsa-let-7e	5876	1030.096669	N
hsa-let-7f-1	62466	10950.649850	N
hsa-let-7f-2	62616	10976.945714	N
hsa-let-7g	7985	1399.816525	N
hsa-let-7i	2691	471.747811	N
hsa-mir-1-1	31	5.434479	N
hsa-mir-1-2	26	4.557950	N
hsa-mir-100	63718	11170.132666	Y
hsa-mir-101-1	122476	21470.748743	N
hsa-mir-101-2	122531	21480.390560	N
hsa-mir-103a-1	31569	5534.227662	Y
hsa-mir-103a-2	31858	5584.891027	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	54	9.466511	Y
hsa-mir-106b	3509	615.147926	N
hsa-mir-107	1271	222.813626	Y
hsa-mir-10a	145634	25530.479624	N
hsa-mir-10b	10213	1790.397767	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	132	23.140361	N
hsa-mir-1181	6	1.051835	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.175306	N
hsa-mir-1185-2	3	0.525917	N
hsa-mir-1193	1	0.175306	N
hsa-mir-1197	1	0.175306	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	203220	35625.637346	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.350612	N
hsa-mir-1227	1	0.175306	N
hsa-mir-1228	40	7.012231	N
hsa-mir-1229	7	1.227140	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.175306	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.175306	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.350612	N
