miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	67766	6148.060421	N
hsa-let-7a-2	68238	6190.882551	N
hsa-let-7a-3	68193	6186.799933	N
hsa-let-7b	30121	2732.723312	N
hsa-let-7c	2619	237.608391	N
hsa-let-7d	4277	388.030198	N
hsa-let-7e	19444	1764.054051	N
hsa-let-7f-1	64344	5837.599972	N
hsa-let-7f-2	65592	5950.824589	N
hsa-let-7g	6301	571.657302	N
hsa-let-7i	4269	387.304399	N
hsa-mir-1-1	27	2.449571	N
hsa-mir-1-2	41	3.719719	N
hsa-mir-100	19605	1778.660752	N
hsa-mir-101-1	36751	3334.229090	N
hsa-mir-101-2	37164	3371.698455	N
hsa-mir-103a-1	80123	7269.147435	Y
hsa-mir-103a-2	80093	7266.425689	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	29	2.631021	Y
hsa-mir-106b	4832	438.382492	N
hsa-mir-107	590	53.527664	Y
hsa-mir-10a	129672	11764.473200	N
hsa-mir-10b	17115	1552.755867	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	293	26.582382	N
hsa-mir-1181	3	0.272175	N
hsa-mir-1182	1	0.090725	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.090725	N
hsa-mir-1185-2	1	0.090725	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	2	0.181450	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	387	35.110518	N
hsa-mir-1224	6	0.544349	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.997973	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	0.907249	N
hsa-mir-1229	2	0.181450	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.181450	N
hsa-mir-124-2	1	0.090725	N
hsa-mir-124-3	1	0.090725	N
hsa-mir-1243	0	0.000000	N
