miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	63269	28477.921723	N
hsa-let-7a-2	63100	28401.853367	N
hsa-let-7a-3	63433	28551.739535	N
hsa-let-7b	68002	30608.285779	N
hsa-let-7c	8075	3634.627036	N
hsa-let-7d	2731	1229.246617	N
hsa-let-7e	5209	2344.615756	N
hsa-let-7f-1	44959	20236.433051	N
hsa-let-7f-2	46138	20767.111104	N
hsa-let-7g	4385	1973.726260	N
hsa-let-7i	811	365.038084	N
hsa-mir-1-1	19	8.552064	N
hsa-mir-1-2	26	11.702824	N
hsa-mir-100	5418	2438.688456	N
hsa-mir-101-1	9982	4492.984157	N
hsa-mir-101-2	10129	4559.150123	N
hsa-mir-103a-1	55595	25023.788240	Y
hsa-mir-103a-2	55468	24966.624446	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	142	63.915423	Y
hsa-mir-106b	2253	1014.094701	N
hsa-mir-107	568	255.661691	Y
hsa-mir-10a	21194	9539.601906	N
hsa-mir-10b	19735	8882.893442	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.900217	N
hsa-mir-1180	239	107.575958	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.450109	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	19860	8939.157019	N
hsa-mir-1224	2	0.900217	N
hsa-mir-1225	1	0.450109	N
hsa-mir-1226	5	2.250543	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	4.951195	N
hsa-mir-1229	2	0.900217	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.900217	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	1	0.450109	N
hsa-mir-1249	1	0.450109	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	4.050978	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.450109	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.450109	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	5.851412	N
hsa-mir-125a	1109	499.170450	N
hsa-mir-125b-1	321	144.484864	N
hsa-mir-125b-2	383	172.391598	N
hsa-mir-126	14032	6315.924032	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.900217	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	5.851412	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	800	360.086889	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	221	99.474003	N
hsa-mir-1270	34	15.303693	N
hsa-mir-1271	4	1.800434	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.900217	N
hsa-mir-1277	1	0.450109	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	813	365.938301	N
hsa-mir-128-2	542	243.958867	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.450109	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	90	40.509775	N
hsa-mir-1288	2	0.900217	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.450109	N
hsa-mir-129-2	1	0.450109	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.450109	N
hsa-mir-1292	2	0.900217	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	1.800434	N
hsa-mir-1295b	10	4.501086	N
hsa-mir-1296	57	25.656191	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	158	71.117161	N
