miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28543	6969.497856	N
hsa-let-7a-2	28748	7019.553809	N
hsa-let-7a-3	28511	6961.684244	N
hsa-let-7b	55344	13513.642201	N
hsa-let-7c	1739	424.620985	N
hsa-let-7d	1949	475.897815	N
hsa-let-7e	9783	2388.767737	N
hsa-let-7f-1	14058	3432.617484	N
hsa-let-7f-2	14400	3516.125464	N
hsa-let-7g	2285	557.940742	N
hsa-let-7i	1455	355.275177	N
hsa-mir-1-1	12	2.930105	N
hsa-mir-1-2	15	3.662631	N
hsa-mir-100	5142	1255.549801	N
hsa-mir-101-1	9907	2419.045484	N
hsa-mir-101-2	9985	2438.091164	N
hsa-mir-103a-1	24268	5925.648109	Y
hsa-mir-103a-2	24184	5905.137377	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.244175	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	62	15.138874	Y
hsa-mir-106b	4953	1209.400654	N
hsa-mir-107	193	47.125848	Y
hsa-mir-10a	137805	33648.588166	N
hsa-mir-10b	8247	2013.714354	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.244175	N
hsa-mir-1180	95	23.196661	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.488351	N
hsa-mir-1185-2	1	0.244175	N
hsa-mir-1193	2	0.488351	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1707	416.807373	N
