miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11449	3172.918370	N
hsa-let-7a-2	11245	3116.382834	N
hsa-let-7a-3	11655	3230.008175	N
hsa-let-7b	4054	1123.505203	N
hsa-let-7c	844	233.901922	N
hsa-let-7d	307	85.080438	N
hsa-let-7e	597	165.449582	N
hsa-let-7f-1	3932	1089.694736	N
hsa-let-7f-2	3901	1081.103551	N
hsa-let-7g	669	185.403301	N
hsa-let-7i	316	87.574653	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	47179	13074.951155	Y
hsa-mir-101-1	23060	6390.732606	N
hsa-mir-101-2	23046	6386.852717	N
hsa-mir-103a-1	140115	38830.767525	Y
hsa-mir-103a-2	140598	38964.623720	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	547	151.592833	N
hsa-mir-105-2	585	162.123962	N
hsa-mir-106a	15	4.157025	Y
hsa-mir-106b	2494	691.174637	N
hsa-mir-107	715	198.151510	Y
hsa-mir-10a	9199	2549.364668	N
hsa-mir-10b	23344	6469.438940	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	177	49.052891	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	116562	32303.407375	N
hsa-mir-1224	1	0.277135	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.277135	N
hsa-mir-1227	1	0.277135	N
hsa-mir-1228	39	10.808264	N
hsa-mir-1229	1	0.277135	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.277135	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
