miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12815	4286.558170	N
hsa-let-7a-2	12777	4273.847346	N
hsa-let-7a-3	12814	4286.223674	N
hsa-let-7b	7519	2515.070689	N
hsa-let-7c	1985	663.973310	N
hsa-let-7d	971	324.795005	N
hsa-let-7e	2081	696.084865	N
hsa-let-7f-1	8341	2790.025883	N
hsa-let-7f-2	8531	2853.580004	N
hsa-let-7g	1351	451.903245	N
hsa-let-7i	998	333.826380	N
hsa-mir-1-1	2	0.668991	N
hsa-mir-1-2	1	0.334495	N
hsa-mir-100	3302	1104.503713	N
hsa-mir-101-1	18644	6236.331683	N
hsa-mir-101-2	18660	6241.683609	N
hsa-mir-103a-1	134804	45091.313891	Y
hsa-mir-103a-2	135199	45223.439562	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	141	47.163847	N
hsa-mir-105-2	137	45.825866	N
hsa-mir-106a	74	24.752657	Y
hsa-mir-106b	3302	1104.503713	N
hsa-mir-107	741	247.861069	Y
hsa-mir-10a	12658	4234.042397	N
hsa-mir-10b	140835	47108.655469	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	174	58.202194	N
hsa-mir-1181	2	0.668991	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	34	11.372843	N
hsa-mir-1185-2	7	2.341468	N
hsa-mir-1193	4	1.337981	N
hsa-mir-1197	30	10.034861	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	97729	32689.898039	N
hsa-mir-1224	5	1.672477	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	5.351926	N
hsa-mir-1227	1	0.334495	N
hsa-mir-1228	19	6.355412	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.334495	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.668991	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.334495	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	146	48.836324	N
hsa-mir-1248	14	4.682935	N
hsa-mir-1249	24	8.027889	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.668991	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.668991	N
hsa-mir-1254-2	1	0.334495	N
hsa-mir-1255a	1	0.334495	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.668991	N
hsa-mir-125a	1090	364.599954	N
hsa-mir-125b-1	342	114.397417	N
hsa-mir-125b-2	376	125.770259	N
hsa-mir-126	19467	6511.621373	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.334495	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.337981	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	10.034861	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1372	458.927648	N
hsa-mir-1269b	4	1.337981	N
hsa-mir-127	26799	8964.141427	N
hsa-mir-1270	12	4.013944	N
hsa-mir-1271	11	3.679449	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.668991	N
hsa-mir-1275	1	0.334495	N
hsa-mir-1276	3	1.003486	N
hsa-mir-1277	17	5.686421	N
hsa-mir-1278	2	0.668991	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	632	211.401074	N
hsa-mir-128-2	421	140.822551	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	17	5.686421	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	141	47.163847	N
hsa-mir-1288	1	0.334495	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.668991	N
hsa-mir-129-2	4	1.337981	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.334495	N
hsa-mir-1292	5	1.672477	N
hsa-mir-1293	2	0.668991	N
hsa-mir-1294	1	0.334495	N
hsa-mir-1295a	17	5.686421	N
hsa-mir-1295b	21	7.024403	N
hsa-mir-1296	31	10.369356	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	114	38.132472	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	2.675963	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	80	26.759630	N
hsa-mir-1307	28620	9573.257497	N
hsa-mir-130a	465	155.540347	N
hsa-mir-130b	259	86.634301	N
hsa-mir-132	302	101.017602	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	2.006972	N
hsa-mir-133a-2	3	1.003486	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	18547	6203.885632	N
