miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38317	6527.414476	N
hsa-let-7a-2	38012	6475.456823	N
hsa-let-7a-3	38596	6574.942953	N
hsa-let-7b	42780	7287.699749	N
hsa-let-7c	4874	830.300341	N
hsa-let-7d	2445	416.512994	N
hsa-let-7e	5044	859.260344	N
hsa-let-7f-1	20834	3549.133627	N
hsa-let-7f-2	21111	3596.321398	N
hsa-let-7g	2678	456.205234	N
hsa-let-7i	2024	344.794397	N
hsa-mir-1-1	34	5.792001	N
hsa-mir-1-2	37	6.303060	N
hsa-mir-100	22362	3809.432955	N
hsa-mir-101-1	20542	3499.390562	N
hsa-mir-101-2	21142	3601.602340	N
hsa-mir-103a-1	100480	17117.065704	Y
hsa-mir-103a-2	100098	17051.990872	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.170353	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	48	8.176942	Y
hsa-mir-106b	1296	220.777440	N
hsa-mir-107	371	63.200949	Y
hsa-mir-10a	130456	22223.566118	N
hsa-mir-10b	202460	34489.660853	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.170353	N
hsa-mir-1180	121	20.612709	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	30567	5207.179015	N
hsa-mir-1224	2	0.340706	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.851765	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.192471	N
hsa-mir-1229	2	0.340706	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.703530	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	10.391531	N
hsa-mir-1248	4	0.681412	N
hsa-mir-1249	5	0.851765	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.170353	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.340706	N
hsa-mir-1254-2	3	0.511059	N
hsa-mir-1255a	2	0.340706	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3869	659.095613	N
hsa-mir-125b-1	1435	244.456502	N
hsa-mir-125b-2	1503	256.040503	N
hsa-mir-126	34066	5803.244031	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	3.747765	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.681412	N
hsa-mir-1269b	248	42.247535	N
hsa-mir-127	967	164.731315	N
hsa-mir-1270	5	0.851765	N
hsa-mir-1271	7	1.192471	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
