miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11661	4167.835717	N
hsa-let-7a-2	11398	4073.835134	N
hsa-let-7a-3	11631	4157.113217	N
hsa-let-7b	11297	4037.736051	N
hsa-let-7c	3478	1243.095157	N
hsa-let-7d	660	235.894998	N
hsa-let-7e	5441	1944.704068	N
hsa-let-7f-1	6177	2207.762733	N
hsa-let-7f-2	6131	2191.321566	N
hsa-let-7g	775	276.997914	N
hsa-let-7i	503	179.780582	N
hsa-mir-1-1	8	2.859333	N
hsa-mir-1-2	7	2.501917	N
hsa-mir-100	11922	4261.121466	N
hsa-mir-101-1	20360	7277.003276	N
hsa-mir-101-2	20562	7349.201442	N
hsa-mir-103a-1	30364	10852.599581	Y
hsa-mir-103a-2	30039	10736.439165	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	994	355.272164	N
hsa-mir-105-2	972	347.408997	N
hsa-mir-106a	75	26.806250	Y
hsa-mir-106b	6595	2357.162898	N
hsa-mir-107	176	62.905333	Y
hsa-mir-10a	43203	15441.472128	N
hsa-mir-10b	43797	15653.777626	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.714833	N
hsa-mir-1180	108	38.601000	N
hsa-mir-1181	1	0.357417	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	94	33.597166	N
hsa-mir-1185-2	31	11.079917	N
hsa-mir-1193	5	1.787083	N
hsa-mir-1197	216	77.201999	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	547	195.506915	N
hsa-mir-1224	7	2.501917	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	42	15.011500	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.714833	N
hsa-mir-1229	12	4.289000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.357417	N
hsa-mir-1236	1	0.357417	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.714833	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.787083	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	11.079917	N
hsa-mir-1248	9	3.216750	N
hsa-mir-1249	9	3.216750	N
hsa-mir-1250	2	0.714833	N
hsa-mir-1251	11	3.931583	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.714833	N
hsa-mir-1258	4	1.429667	N
hsa-mir-125a	1685	602.247079	N
hsa-mir-125b-1	552	197.293998	N
hsa-mir-125b-2	633	226.244748	N
hsa-mir-126	13242	4732.911463	N
hsa-mir-1260a	1	0.357417	N
hsa-mir-1260b	3	1.072250	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	53	18.943083	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
