miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94048	11511.897410	N
hsa-let-7a-2	93319	11422.664538	N
hsa-let-7a-3	94297	11542.376128	N
hsa-let-7b	70124	8583.492408	N
hsa-let-7c	9016	1103.598876	N
hsa-let-7d	5851	716.188667	N
hsa-let-7e	14009	1714.764491	N
hsa-let-7f-1	65442	8010.394589	N
hsa-let-7f-2	65763	8049.686430	N
hsa-let-7g	7213	882.903581	N
hsa-let-7i	1949	238.566350	N
hsa-mir-1-1	53	6.487438	N
hsa-mir-1-2	62	7.589078	N
hsa-mir-100	66673	8161.074516	N
hsa-mir-101-1	59710	7308.772057	N
hsa-mir-101-2	60820	7444.641040	N
hsa-mir-103a-1	134885	16510.529540	Y
hsa-mir-103a-2	135127	16540.151427	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.122404	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	44	5.385798	Y
hsa-mir-106b	5140	629.159075	N
hsa-mir-107	1636	200.253745	Y
hsa-mir-10a	229917	28142.872968	N
hsa-mir-10b	8721	1067.489551	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.244809	N
hsa-mir-1180	446	54.592402	N
hsa-mir-1181	1	0.122404	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.367213	N
hsa-mir-1185-2	2	0.244809	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	110777	13559.602112	N
hsa-mir-1224	1	0.122404	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.224045	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	35	4.284157	N
hsa-mir-1229	7	0.856831	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.101640	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1288	157.656982	N
hsa-mir-1248	10	1.224045	N
hsa-mir-1249	22	2.692899	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	68	8.323505	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.122404	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.856831	N
hsa-mir-125a	3109	380.555557	N
hsa-mir-125b-1	1816	222.286553	N
hsa-mir-125b-2	2010	246.033024	N
hsa-mir-126	48626	5952.040697	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.244809	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	59	7.221865	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	35	4.284157	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8064	987.069802	N
hsa-mir-1270	31	3.794539	N
hsa-mir-1271	19	2.325685	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.367213	N
hsa-mir-1276	3	0.367213	N
hsa-mir-1277	14	1.713663	N
hsa-mir-1278	2	0.244809	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1175	143.825275	N
hsa-mir-128-2	855	104.655838	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.244809	N
hsa-mir-1283-2	1	0.122404	N
hsa-mir-1284	2	0.244809	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	93	11.383618	N
hsa-mir-1288	12	1.468854	N
hsa-mir-1289-1	1	0.122404	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.122404	N
hsa-mir-129-2	1	0.122404	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.489618	N
hsa-mir-1292	4	0.489618	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	15	1.836067	N
hsa-mir-1295b	56	6.854651	N
hsa-mir-1296	51	6.242629	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	155	18.972696	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.244809	N
hsa-mir-1304	5	0.612022	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	95	11.628426	N
hsa-mir-1307	14220	1740.591838	N
hsa-mir-130a	464	56.795683	N
hsa-mir-130b	416	50.920268	N
hsa-mir-132	732	89.600086	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	4	0.489618	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	23	2.815303	Y
hsa-mir-133a-2	35	4.284157	Y
hsa-mir-133b	5	0.612022	Y
hsa-mir-134	2642	323.392661	N
hsa-mir-1343	2	0.244809	N
hsa-mir-135a-1	41	5.018584	N
hsa-mir-135a-2	51	6.242629	N
hsa-mir-135b	15	1.836067	N
hsa-mir-136	475	58.142132	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.244809	N
hsa-mir-138-2	7	0.856831	N
hsa-mir-139	761	93.149816	N
hsa-mir-140	7908	967.974701	N
hsa-mir-141	1074	131.462422	N
hsa-mir-142	8522	1043.131058	N
hsa-mir-143	1039894	127287.694003	N
hsa-mir-144	257	31.457954	N
hsa-mir-145	11994	1468.119445	N
hsa-mir-1468	45	5.508202	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	220	26.928988	N
hsa-mir-146b	13059	1598.480226	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	435269	53278.879656	N
hsa-mir-148b	2428	297.198100	N
hsa-mir-149	165	20.196741	N
hsa-mir-150	2963	362.684502	N
hsa-mir-151a	27077	3314.346357	N
hsa-mir-151b	26	3.182517	N
hsa-mir-152	2696	330.002503	N
hsa-mir-153-1	6	0.734427	N
hsa-mir-153-2	44	5.385798	N
hsa-mir-1537	1	0.122404	N
hsa-mir-1538	4	0.489618	N
hsa-mir-1539	1	0.122404	N
hsa-mir-154	64	7.833887	N
hsa-mir-155	1144	140.030736	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	815	99.759659	N
hsa-mir-15b	1544	188.992531	N
hsa-mir-16-1	955	116.896287	N
hsa-mir-16-2	1030	126.076624	N
hsa-mir-17	10078	1233.592443	Y
hsa-mir-181a-1	5481	670.899006	N
hsa-mir-181a-2	14976	1833.129632	N
hsa-mir-181b-1	997	122.037276	N
hsa-mir-181b-2	1020	124.852579	N
hsa-mir-181c	430	52.633930	N
hsa-mir-181d	72	8.813123	N
hsa-mir-182	134512	16464.872666	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	62599	7662.398626	N
hsa-mir-184	17	2.080876	N
hsa-mir-185	801	98.045996	N
hsa-mir-186	1288	157.656982	N
hsa-mir-187	2	0.244809	N
hsa-mir-188	63	7.711483	N
hsa-mir-18a	216	26.439370	Y
hsa-mir-18b	2	0.244809	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	25	3.060112	N
hsa-mir-190b	2	0.244809	N
hsa-mir-191	2988	365.744614	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	296440	36285.586810	Y
hsa-mir-193a	3626	443.838678	N
hsa-mir-193b	1512	185.075588	N
hsa-mir-194-1	65705	8042.586970	N
hsa-mir-194-2	71876	8797.945073	N
hsa-mir-195	294	35.986920	N
hsa-mir-196a-1	305	37.333369	N
hsa-mir-196a-2	305	37.333369	N
hsa-mir-196b	1323	161.941139	N
hsa-mir-197	1545	189.114936	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	28	3.427326	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	13859	1696.403817	Y
hsa-mir-199a-2	22544	2759.486807	Y
hsa-mir-199b	25818	3160.239105	Y
hsa-mir-19a	439	53.735571	N
hsa-mir-19b-1	1089	133.298489	N
hsa-mir-19b-2	1010	123.628534	N
hsa-mir-200a	886	108.450378	N
hsa-mir-200b	1128	138.072264	N
hsa-mir-200c	7781	952.429331	N
hsa-mir-202	2	0.244809	N
hsa-mir-203a	11782	1442.169693	N
hsa-mir-203b	2	0.244809	N
hsa-mir-204	95	11.628426	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	8	0.979236	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	3781	462.811374	N
hsa-mir-20b	33	4.039348	N
hsa-mir-21	1963509	240342.316395	N
hsa-mir-210	883	108.083164	N
hsa-mir-211	1	0.122404	N
hsa-mir-2110	16	1.958472	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	0.734427	N
hsa-mir-2115	1	0.122404	N
hsa-mir-2116	4	0.489618	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	32	3.916944	N
hsa-mir-214	446	54.592402	N
hsa-mir-215	1001	122.526894	Y
hsa-mir-216a	9	1.101640	N
hsa-mir-216b	2	0.244809	N
hsa-mir-217	335	41.005504	N
hsa-mir-218-1	249	30.478718	N
hsa-mir-218-2	209	25.582538	N
hsa-mir-219a-1	39	4.773775	N
hsa-mir-219a-2	2	0.244809	N
hsa-mir-219b	5	0.612022	N
hsa-mir-22	765773	93734.052990	N
hsa-mir-221	1575	192.787071	N
hsa-mir-222	266	32.559594	N
hsa-mir-223	789	96.577142	N
hsa-mir-224	71	8.690719	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	3	0.367213	N
hsa-mir-2278	2	0.244809	N
hsa-mir-2355	141	17.259033	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	19632	2403.044934	Y
hsa-mir-23b	15884	1944.272908	Y
hsa-mir-23c	3	0.367213	N
hsa-mir-24-1	9521	1165.413143	N
hsa-mir-24-2	9358	1145.461211	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	77262	9457.215653	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	10812	1323.437338	N
hsa-mir-26a-2	10654	1304.097429	N
hsa-mir-26b	9625	1178.143210	N
hsa-mir-27a	11030	1350.121517	Y
hsa-mir-27b	29697	3635.046119	Y
hsa-mir-28	28321	3466.617542	N
hsa-mir-2861	0	0.000000	N
