miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	96759	13150.142722	N
hsa-let-7a-2	96075	13057.182918	N
hsa-let-7a-3	96524	13118.204778	N
hsa-let-7b	30183	4102.055186	N
hsa-let-7c	23409	3181.426957	N
hsa-let-7d	1844	250.610932	N
hsa-let-7e	2963	402.689909	N
hsa-let-7f-1	71256	9684.128296	N
hsa-let-7f-2	74385	10109.378625	N
hsa-let-7g	8140	1106.276023	N
hsa-let-7i	1068	145.147763	N
hsa-mir-1-1	12	1.630874	N
hsa-mir-1-2	4	0.543625	N
hsa-mir-100	180105	24477.376316	Y
hsa-mir-101-1	132222	17969.782356	N
hsa-mir-101-2	134164	18233.712090	N
hsa-mir-103a-1	113742	15458.236789	Y
hsa-mir-103a-2	113988	15491.669701	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	27	3.669466	Y
hsa-mir-106b	2621	356.210007	N
hsa-mir-107	1341	182.250141	Y
hsa-mir-10a	29132	3959.217828	N
hsa-mir-10b	129024	17535.154503	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.135906	N
hsa-mir-1180	17	2.310404	N
hsa-mir-1181	1	0.135906	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.135906	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	156575	21279.504715	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.087249	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	3.533560	N
hsa-mir-1229	9	1.223155	N
hsa-mir-1231	1	0.135906	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.135906	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.271812	N
hsa-mir-1248	2	0.271812	N
hsa-mir-1249	3	0.407718	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.271812	N
hsa-mir-1254-2	2	0.271812	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	597	81.135969	N
hsa-mir-125b-1	3443	467.924859	N
hsa-mir-125b-2	3824	519.705100	N
hsa-mir-126	19483	2647.859431	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.951343	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	2.446311	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7824	1063.329682	N
hsa-mir-1269b	545	74.068849	N
hsa-mir-127	545	74.068849	N
