miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	120626	15451.347904	N
hsa-let-7a-2	120348	15415.738046	Y
hsa-let-7a-3	120411	15423.807906	N
hsa-let-7b	111924	14336.682496	N
hsa-let-7c	60654	7769.353670	Y
hsa-let-7d	3276	419.632714	N
hsa-let-7e	6549	838.881149	N
hsa-let-7f-1	82483	10565.496072	N
hsa-let-7f-2	83750	10727.789920	N
hsa-let-7g	9813	1256.976746	N
hsa-let-7i	1986	254.392726	N
hsa-mir-1-1	29	3.714697	N
hsa-mir-1-2	29	3.714697	N
hsa-mir-100	43916	5625.332802	Y
hsa-mir-101-1	220062	28188.404841	N
hsa-mir-101-2	221331	28350.954876	N
hsa-mir-103a-1	36984	4737.392029	Y
hsa-mir-103a-2	36863	4721.892774	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.256186	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	67	8.582232	Y
hsa-mir-106b	2670	342.008347	N
hsa-mir-107	780	99.912551	Y
hsa-mir-10a	249150	31914.374432	N
hsa-mir-10b	3307	423.603597	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.256186	N
hsa-mir-1180	50	6.404651	N
hsa-mir-1181	1	0.128093	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.384279	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	321885	41231.219803	N
hsa-mir-1224	2	0.256186	N
hsa-mir-1225	2	0.256186	N
hsa-mir-1226	7	0.896651	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.537116	N
hsa-mir-1229	1	0.128093	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.128093	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.128093	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.152837	N
hsa-mir-1245b	1	0.128093	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	572	73.269204	N
