miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	122604	15120.201682	N
hsa-let-7a-2	122314	15084.437282	N
hsa-let-7a-3	123364	15213.929075	N
hsa-let-7b	163317	20141.153454	N
hsa-let-7c	9957	1227.952172	N
hsa-let-7d	2865	353.327606	N
hsa-let-7e	10924	1347.207947	N
hsa-let-7f-1	51568	6359.650259	N
hsa-let-7f-2	52388	6460.777183	N
hsa-let-7g	4861	599.485338	N
hsa-let-7i	2801	345.434773	N
hsa-mir-1-1	32	3.946417	N
hsa-mir-1-2	33	4.069742	N
hsa-mir-100	34081	4203.056944	N
hsa-mir-101-1	58782	7249.320538	N
hsa-mir-101-2	59571	7346.624371	N
hsa-mir-103a-1	46246	5703.311857	Y
hsa-mir-103a-2	46431	5726.127078	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	39	4.809695	Y
hsa-mir-106b	3869	477.146425	N
hsa-mir-107	425	52.413345	Y
hsa-mir-10a	437444	53948.007442	N
hsa-mir-10b	6162	759.931836	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	30	3.699766	N
hsa-mir-1181	1	0.123326	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.863279	N
hsa-mir-1185-2	4	0.493302	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.369977	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12329	1520.480299	N
hsa-mir-1224	1	0.123326	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.123326	N
hsa-mir-1227	1	0.123326	N
hsa-mir-1228	7	0.863279	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.123326	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.986604	N
hsa-mir-1245b	1	0.123326	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	264	32.557936	N
hsa-mir-1248	1	0.123326	N
hsa-mir-1249	7	0.863279	N
hsa-mir-1250	1	0.123326	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.123326	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.863279	N
hsa-mir-125a	2575	317.563206	N
hsa-mir-125b-1	1637	201.883871	N
hsa-mir-125b-2	1661	204.843684	N
hsa-mir-126	20565	2536.189256	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.123326	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	2.713161	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	119	14.675737	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.369977	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7199	887.820397	N
hsa-mir-1270	3	0.369977	N
hsa-mir-1271	12	1.479906	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.246651	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.616628	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	584	72.022102	N
hsa-mir-128-2	437	53.893251	N
hsa-mir-1281	1	0.123326	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.246651	N
hsa-mir-1285-1	1	0.123326	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.246651	N
hsa-mir-1287	103	12.702528	N
hsa-mir-1288	1	0.123326	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.109930	N
hsa-mir-129-2	10	1.233255	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.123326	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	1	0.123326	N
hsa-mir-1294	4	0.493302	N
hsa-mir-1295a	3	0.369977	N
hsa-mir-1295b	16	1.973208	N
hsa-mir-1296	11	1.356581	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	5.056346	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	9	1.109930	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	29	3.576440	N
hsa-mir-1307	5730	706.655212	N
hsa-mir-130a	514	63.389316	N
hsa-mir-130b	113	13.935783	N
hsa-mir-132	767	94.590672	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	13	1.603232	Y
hsa-mir-133a-2	13	1.603232	Y
hsa-mir-133b	2	0.246651	Y
hsa-mir-134	2556	315.220021	N
hsa-mir-1343	3	0.369977	N
