miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33902	10771.225051	N
hsa-let-7a-2	34009	10805.220718	N
hsa-let-7a-3	34552	10977.740781	N
hsa-let-7b	37919	12047.492264	N
hsa-let-7c	2888	917.565275	N
hsa-let-7d	5870	1864.995901	N
hsa-let-7e	2610	829.240086	N
hsa-let-7f-1	18455	5863.458154	N
hsa-let-7f-2	18920	6011.196330	N
hsa-let-7g	3823	1214.630210	N
hsa-let-7i	1917	609.062546	N
hsa-mir-1-1	174	55.282672	N
hsa-mir-1-2	155	49.246059	N
hsa-mir-100	4688	1489.454989	Y
hsa-mir-101-1	19703	6259.968355	N
hsa-mir-101-2	19680	6252.660876	N
hsa-mir-103a-1	272251	86498.636996	Y
hsa-mir-103a-2	272764	86661.625565	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	98	31.136218	Y
hsa-mir-106b	2330	740.279463	N
hsa-mir-107	1474	468.314133	Y
hsa-mir-10a	38506	12233.991854	N
hsa-mir-10b	14008	4450.572843	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	251	79.746843	N
hsa-mir-1181	1	0.317717	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.317717	N
hsa-mir-1185-2	1	0.317717	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.317717	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	45274	14384.297179	N
hsa-mir-1224	3	0.953150	N
hsa-mir-1225	1	0.317717	N
hsa-mir-1226	32	10.166928	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	3.177165	N
hsa-mir-1229	13	4.130315	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.953150	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
