miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	102617	17710.528805	N
hsa-let-7a-2	103224	17815.290111	N
hsa-let-7a-3	103935	17938.000637	N
hsa-let-7b	38116	6578.388726	N
hsa-let-7c	49130	8479.280043	N
hsa-let-7d	2160	372.791469	N
hsa-let-7e	39910	6888.012752	N
hsa-let-7f-1	88321	15243.201561	N
hsa-let-7f-2	90034	15538.845907	N
hsa-let-7g	9855	1700.861079	N
hsa-let-7i	2865	494.466463	N
hsa-mir-1-1	585	100.964356	N
hsa-mir-1-2	660	113.908505	N
hsa-mir-100	29932	5165.923270	N
hsa-mir-101-1	63421	10945.744344	N
hsa-mir-101-2	64371	11109.703555	N
hsa-mir-103a-1	147002	25370.875735	Y
hsa-mir-103a-2	147852	25517.576082	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.345177	N
hsa-mir-105-2	2	0.345177	N
hsa-mir-106a	35	6.040603	Y
hsa-mir-106b	3268	564.019686	N
hsa-mir-107	680	117.360277	Y
hsa-mir-10a	60331	10412.445436	N
hsa-mir-10b	386600	66722.769482	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.517766	N
hsa-mir-1180	60	10.355319	N
hsa-mir-1181	2	0.345177	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.172589	N
hsa-mir-1185-2	1	0.172589	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	97	16.741098	N
hsa-mir-1224	367	63.340032	N
hsa-mir-1225	1	0.172589	N
hsa-mir-1226	4	0.690355	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	3.796950	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.172589	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.345177	N
hsa-mir-124-1	3	0.517766	N
hsa-mir-124-2	1	0.172589	N
hsa-mir-124-3	1	0.172589	N
hsa-mir-1243	5	0.862943	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	22	3.796950	N
hsa-mir-1245b	1	0.172589	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	687	118.568398	N
hsa-mir-1248	2	0.345177	N
hsa-mir-1249	31	5.350248	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	10	1.725886	N
hsa-mir-1252	1	0.172589	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.345177	N
hsa-mir-1255a	6	1.035532	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	21	3.624362	N
hsa-mir-125a	4237	731.258081	N
hsa-mir-125b-1	2319	400.233064	N
hsa-mir-125b-2	2719	469.268521	N
hsa-mir-126	10718	1849.805078	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.898475	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.035532	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.345177	N
hsa-mir-1269b	1	0.172589	N
hsa-mir-127	256	44.182693	N
hsa-mir-1270	4	0.690355	N
hsa-mir-1271	8	1.380709	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.172589	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	1.380709	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	769	132.720667	N
hsa-mir-128-2	566	97.685172	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.172589	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	114	19.675105	N
hsa-mir-1288	5	0.862943	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	365	62.994855	N
hsa-mir-129-2	416	71.796876	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.345177	N
hsa-mir-1292	2	0.345177	N
hsa-mir-1293	6	1.035532	N
hsa-mir-1294	3	0.517766	N
hsa-mir-1295a	3	0.517766	N
hsa-mir-1295b	10	1.725886	N
hsa-mir-1296	34	5.868014	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	43	7.421312	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	181	31.238544	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.172589	N
hsa-mir-1304	11	1.898475	N
hsa-mir-1305	25	4.314716	N
hsa-mir-1306	61	10.527907	N
hsa-mir-1307	7925	1367.764998	N
hsa-mir-130a	673	116.152157	N
hsa-mir-130b	422	72.832407	N
hsa-mir-132	887	153.086127	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	98	16.913687	Y
hsa-mir-133a-2	112	19.329928	Y
hsa-mir-133b	3	0.517766	Y
hsa-mir-134	90	15.532978	N
hsa-mir-1343	4	0.690355	N
hsa-mir-135a-1	6	1.035532	N
hsa-mir-135a-2	9	1.553298	N
hsa-mir-135b	300	51.776593	N
hsa-mir-136	10	1.725886	N
hsa-mir-137	178	30.720778	N
hsa-mir-138-1	5	0.862943	N
hsa-mir-138-2	9	1.553298	N
hsa-mir-139	185	31.928899	N
hsa-mir-140	11805	2037.408934	N
hsa-mir-141	54	9.319787	N
hsa-mir-142	12462	2150.799672	N
hsa-mir-143	261308	45098.793191	N
hsa-mir-144	208	35.898438	N
hsa-mir-145	3085	532.435964	N
hsa-mir-1468	29	5.005071	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	605	104.416129	N
hsa-mir-146b	13374	2308.200515	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.172589	N
hsa-mir-148a	135667	23414.583464	N
hsa-mir-148b	1008	173.969352	N
hsa-mir-149	926	159.817084	N
hsa-mir-150	2734	471.857351	N
hsa-mir-151a	16642	2872.220201	N
hsa-mir-151b	3	0.517766	N
hsa-mir-152	1584	273.380411	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	18	3.106596	N
hsa-mir-1537	3	0.517766	N
hsa-mir-1538	1	0.172589	N
hsa-mir-1539	1	0.172589	N
hsa-mir-154	3	0.517766	N
hsa-mir-155	4987	860.699564	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2623	452.700011	N
hsa-mir-15b	2923	504.476604	N
hsa-mir-16-1	1874	323.431117	N
hsa-mir-16-2	1838	317.217926	N
hsa-mir-17	4976	858.801089	Y
hsa-mir-181a-1	8815	1521.368890	N
hsa-mir-181a-2	10433	1800.617315	N
hsa-mir-181b-1	1544	266.476865	N
hsa-mir-181b-2	1353	233.512434	N
hsa-mir-181c	179	30.893367	N
hsa-mir-181d	27	4.659893	N
hsa-mir-182	68195	11769.682527	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	25703	4436.045898	N
hsa-mir-184	40	6.903546	N
hsa-mir-185	1120	193.299280	N
hsa-mir-186	2012	347.248350	N
hsa-mir-187	34	5.868014	N
hsa-mir-188	34	5.868014	N
hsa-mir-18a	131	22.609112	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	2.761418	N
hsa-mir-190b	1	0.172589	N
hsa-mir-191	2790	481.522315	N
hsa-mir-1910	2	0.345177	N
hsa-mir-1911	15	2.588830	N
hsa-mir-1912	12	2.071064	N
hsa-mir-1913	1	0.172589	N
hsa-mir-1914	1	0.172589	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3207	553.491779	N
hsa-mir-193a	2151	371.238172	N
hsa-mir-193b	1060	182.943962	N
hsa-mir-194-1	415	71.624287	N
hsa-mir-194-2	518	89.400917	N
hsa-mir-195	48	8.284255	N
hsa-mir-196a-1	417	71.969464	N
hsa-mir-196a-2	522	90.091272	N
hsa-mir-196b	857	147.908467	N
hsa-mir-197	3225	556.598374	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	62	10.700496	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	11123	1919.703479	Y
hsa-mir-199a-2	16499	2847.540025	Y
hsa-mir-199b	17355	2995.275904	Y
hsa-mir-19a	298	51.431416	N
hsa-mir-19b-1	407	70.243578	N
hsa-mir-19b-2	385	66.446628	N
hsa-mir-200a	10	1.725886	N
hsa-mir-200b	19	3.279184	N
hsa-mir-200c	429	74.040528	N
hsa-mir-202	2	0.345177	N
hsa-mir-203a	19	3.279184	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	1031	177.938891	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.172589	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2456	423.877708	N
hsa-mir-20b	43	7.421312	N
hsa-mir-21	2108991	363987.895323	N
hsa-mir-210	1959	338.101152	N
hsa-mir-211	1	0.172589	N
hsa-mir-2110	19	3.279184	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	33	5.695425	N
hsa-mir-214	236	40.730920	N
hsa-mir-215	7	1.208121	N
hsa-mir-216a	81	13.979680	N
hsa-mir-216b	137	23.644644	N
hsa-mir-217	6832	1179.125611	N
hsa-mir-218-1	523	90.263860	N
hsa-mir-218-2	461	79.563365	N
hsa-mir-219a-1	29	5.005071	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	4	0.690355	N
hsa-mir-22	728249	125687.506860	N
hsa-mir-221	921	158.954140	N
hsa-mir-222	337	58.162373	N
hsa-mir-223	1044	180.182544	N
hsa-mir-224	281	48.497409	N
hsa-mir-2276	1	0.172589	N
hsa-mir-2277	7	1.208121	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	268	46.253756	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	15195	2622.484434	Y
hsa-mir-23b	3063	528.639014	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	4266	736.263152	N
hsa-mir-24-2	4502	776.994072	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	42740	7376.438613	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	5	0.862943	N
hsa-mir-26a-1	5004	863.633571	N
hsa-mir-26a-2	5059	873.125946	N
hsa-mir-26b	2479	427.847247	N
hsa-mir-27a	4846	836.364565	Y
hsa-mir-27b	3657	631.156668	Y
hsa-mir-28	19047	3287.295888	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	43	7.421312	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	0	0.000000	N
hsa-mir-29a	23027	3974.198688	N
hsa-mir-29b-1	1382	238.517505	N
hsa-mir-29b-2	1298	224.020059	N
hsa-mir-29c	3125	539.339510	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	73	12.598971	N
hsa-mir-301b	13	2.243652	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.172589	N
hsa-mir-3065	748	129.096305	N
hsa-mir-3074	24	4.142127	N
hsa-mir-30a	69707	12030.636555	Y
hsa-mir-30b	1490	257.157078	N
hsa-mir-30c-1	1408	243.004810	N
hsa-mir-30c-2	1618	279.248425	N
hsa-mir-30d	27731	4786.055666	N
hsa-mir-30e	41994	7247.687485	Y
hsa-mir-31	282	48.669997	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.517766	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.172589	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	2	0.345177	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	13	2.243652	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	10	1.725886	N
hsa-mir-3130-1	5	0.862943	N
hsa-mir-3130-2	7	1.208121	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	1	0.172589	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	3	0.517766	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	0.345177	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	9	1.553298	N
hsa-mir-3145	5	0.862943	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.172589	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	2	0.345177	N
hsa-mir-3152	1	0.172589	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	4	0.690355	N
hsa-mir-3155a	1	0.172589	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	2	0.345177	N
hsa-mir-3158-1	1	0.172589	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
