miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47352	6329.809376	N
hsa-let-7a-2	47139	6301.336462	N
hsa-let-7a-3	47379	6333.418618	N
hsa-let-7b	26604	3556.306991	N
hsa-let-7c	10870	1453.054315	N
hsa-let-7d	3050	407.710732	N
hsa-let-7e	2381	318.281723	N
hsa-let-7f-1	30974	4140.469581	N
hsa-let-7f-2	32236	4309.168251	N
hsa-let-7g	4698	628.008203	N
hsa-let-7i	1139	152.256565	N
hsa-mir-1-1	5	0.668378	N
hsa-mir-1-2	1	0.133676	N
hsa-mir-100	17384	2323.817499	N
hsa-mir-101-1	113574	15182.078266	N
hsa-mir-101-2	114917	15361.604664	N
hsa-mir-103a-1	172362	23040.602375	Y
hsa-mir-103a-2	171877	22975.769684	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.267351	N
hsa-mir-105-2	1	0.133676	N
hsa-mir-106a	79	10.560376	Y
hsa-mir-106b	4892	653.941279	N
hsa-mir-107	1640	219.228066	Y
hsa-mir-10a	43992	5880.659192	N
hsa-mir-10b	123935	16567.091675	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	178	23.794266	N
hsa-mir-1181	1	0.133676	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.133676	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	127265	17012.231589	N
hsa-mir-1224	11	1.470432	N
hsa-mir-1225	1	0.133676	N
hsa-mir-1226	4	0.534703	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	2.807189	N
hsa-mir-1229	10	1.336756	N
hsa-mir-1231	1	0.133676	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.133676	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	0.802054	N
hsa-mir-1248	6	0.802054	N
hsa-mir-1249	21	2.807189	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.267351	N
hsa-mir-1254-2	1	0.133676	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.267351	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.401027	N
hsa-mir-125a	1095	146.374837	N
hsa-mir-125b-1	1324	176.986561	N
hsa-mir-125b-2	1546	206.662555	N
hsa-mir-126	28825	3853.200609	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.133676	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	2.406162	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6146	821.570545	N
hsa-mir-1269b	2089	279.248433	N
hsa-mir-127	1025	137.017541	N
hsa-mir-1270	3	0.401027	N
hsa-mir-1271	10	1.336756	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.133676	N
hsa-mir-1276	4	0.534703	N
hsa-mir-1277	10	1.336756	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1394	186.343856	N
hsa-mir-128-2	785	104.935385	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.802054	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	184	24.596320	N
hsa-mir-1288	4	0.534703	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.267351	N
hsa-mir-129-2	1	0.133676	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.133676	N
hsa-mir-1292	1	0.133676	N
hsa-mir-1293	2	0.267351	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	9	1.203081	N
hsa-mir-1295b	50	6.683782	N
hsa-mir-1296	32	4.277621	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	49	6.550107	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	105	14.035943	N
hsa-mir-1307	10818	1446.103181	N
hsa-mir-130a	200	26.735130	N
hsa-mir-130b	324	43.310911	N
hsa-mir-132	383	51.197774	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	4	0.534703	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.133676	N
hsa-mir-133a-2	6	0.802054	Y
hsa-mir-133b	1	0.133676	Y
hsa-mir-134	262	35.023020	N
hsa-mir-1343	5	0.668378	N
hsa-mir-135a-1	2	0.267351	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	0.401027	N
hsa-mir-136	44	5.881729	N
hsa-mir-137	1	0.133676	N
hsa-mir-138-1	2	0.267351	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	735	98.251603	N
