miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35765	10531.399117	N
hsa-let-7a-2	35615	10487.229961	N
hsa-let-7a-3	35922	10577.629500	N
hsa-let-7b	33510	9867.389470	N
hsa-let-7c	3310	974.666044	N
hsa-let-7d	5727	1686.378379	N
hsa-let-7e	2210	650.758900	N
hsa-let-7f-1	19571	5762.897026	N
hsa-let-7f-2	19885	5855.357792	N
hsa-let-7g	2244	660.770575	N
hsa-let-7i	863	254.119878	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	1518	446.991860	Y
hsa-mir-101-1	19877	5853.002104	N
hsa-mir-101-2	19874	5852.118721	N
hsa-mir-103a-1	63959	18833.433695	Y
hsa-mir-103a-2	64148	18889.086832	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.588922	N
hsa-mir-105-2	8	2.355688	N
hsa-mir-106a	40	11.778442	Y
hsa-mir-106b	2757	811.829089	N
hsa-mir-107	780	229.679612	Y
hsa-mir-10a	8829	2599.796527	N
hsa-mir-10b	87704	25825.411104	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.294461	N
hsa-mir-1180	449	132.213007	N
hsa-mir-1181	1	0.294461	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.883383	N
hsa-mir-1185-2	1	0.294461	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	1.766766	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	116811	34396.288613	N
hsa-mir-1224	1	0.294461	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	4.122455	N
hsa-mir-1227	1	0.294461	N
hsa-mir-1228	32	9.422753	N
hsa-mir-1229	3	0.883383	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.294461	N
hsa-mir-1248	6	1.766766	N
hsa-mir-1249	7	2.061227	N
hsa-mir-1250	1	0.294461	N
hsa-mir-1251	2	0.588922	N
hsa-mir-1252	1	0.294461	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.294461	N
hsa-mir-1254-2	3	0.883383	N
hsa-mir-1255a	9	2.650149	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.294461	N
hsa-mir-1258	7	2.061227	N
hsa-mir-125a	823	242.341436	N
hsa-mir-125b-1	252	74.204182	N
hsa-mir-125b-2	262	77.148793	N
hsa-mir-126	10244	3016.458900	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	46	13.545208	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16757	4934.283657	N
hsa-mir-1269b	2887	850.109024	N
hsa-mir-127	5437	1600.984678	N
hsa-mir-1270	1	0.294461	N
hsa-mir-1271	5	1.472305	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	1.472305	N
hsa-mir-1276	1	0.294461	N
hsa-mir-1277	4	1.177844	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	944	277.971222	N
hsa-mir-128-2	756	222.612547	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	1.472305	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	95	27.973799	N
hsa-mir-1288	6	1.766766	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	1.472305	N
hsa-mir-129-2	2	0.588922	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	5	1.472305	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.588922	N
hsa-mir-1295a	43	12.661825	N
hsa-mir-1295b	81	23.851344	N
hsa-mir-1296	18	5.300299	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	149	43.874695	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	2.061227	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	58	17.078740	N
hsa-mir-1307	16519	4864.201930	N
hsa-mir-130a	233	68.609422	N
hsa-mir-130b	109	32.096253	N
hsa-mir-132	266	78.326637	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.588922	N
hsa-mir-133a-2	2	0.588922	Y
hsa-mir-133b	1	0.294461	Y
hsa-mir-134	2366	696.694822	N
hsa-mir-1343	6	1.766766	N
hsa-mir-135a-1	1	0.294461	N
hsa-mir-135a-2	3	0.883383	N
hsa-mir-135b	1	0.294461	N
hsa-mir-136	134	39.457779	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	84	24.734727	N
hsa-mir-140	14520	4275.574309	N
hsa-mir-141	24	7.067065	N
hsa-mir-142	4236	1247.336968	N
hsa-mir-143	48622	14317.284716	N
hsa-mir-144	392	115.428728	N
hsa-mir-145	852	250.880807	N
hsa-mir-1468	99	29.151643	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	352	103.650286	N
hsa-mir-146b	3499	1030.319181	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	12	3.533532	N
hsa-mir-148a	153273	45132.927075	N
hsa-mir-148b	1024	301.528106	N
hsa-mir-149	19	5.594760	N
hsa-mir-150	717	211.128566	N
hsa-mir-151a	24385	7180.432475	N
hsa-mir-151b	17	5.005838	N
hsa-mir-152	2884	849.225641	N
hsa-mir-153-1	1	0.294461	N
hsa-mir-153-2	13	3.827994	N
hsa-mir-1537	2	0.588922	N
hsa-mir-1538	2	0.588922	N
hsa-mir-1539	1	0.294461	N
hsa-mir-154	53	15.606435	N
hsa-mir-155	918	270.315235	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	507	149.291748	N
hsa-mir-15b	861	253.530956	N
hsa-mir-16-1	664	195.522131	N
hsa-mir-16-2	680	200.233508	N
hsa-mir-17	4940	1454.637541	Y
hsa-mir-181a-1	2430	715.540329	N
hsa-mir-181a-2	6072	1787.967438	N
hsa-mir-181b-1	658	193.755365	N
hsa-mir-181b-2	603	177.560007	N
hsa-mir-181c	62	18.256585	N
hsa-mir-181d	20	5.889221	N
hsa-mir-182	20228	5956.357929	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10095	2972.584205	N
hsa-mir-184	3	0.883383	N
hsa-mir-185	493	145.169293	N
hsa-mir-186	1156	340.396963	N
hsa-mir-187	44	12.956286	N
hsa-mir-188	57	16.784279	N
hsa-mir-18a	160	47.113766	Y
hsa-mir-18b	2	0.588922	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.294461	N
hsa-mir-190a	3	0.883383	N
hsa-mir-190b	5	1.472305	N
hsa-mir-191	1446	425.790665	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.588922	N
hsa-mir-1915	2	0.588922	N
hsa-mir-192	203232	59843.906202	Y
hsa-mir-193a	3389	997.928467	N
hsa-mir-193b	1060	312.128703	N
hsa-mir-194-1	39659	11678.030409	N
hsa-mir-194-2	43994	12954.519020	N
hsa-mir-195	27	7.950448	N
hsa-mir-196a-1	82	24.145805	N
hsa-mir-196a-2	95	27.973799	N
hsa-mir-196b	1483	436.685723	N
hsa-mir-197	2245	661.065036	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
