miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18332	5019.814191	N
hsa-let-7a-2	18316	5015.432944	N
hsa-let-7a-3	18465	5056.233310	N
hsa-let-7b	6197	1696.911878	N
hsa-let-7c	2944	806.149519	N
hsa-let-7d	490	134.175701	N
hsa-let-7e	3698	1012.615802	N
hsa-let-7f-1	14299	3915.466022	N
hsa-let-7f-2	14395	3941.753507	N
hsa-let-7g	1320	361.452909	N
hsa-let-7i	743	203.454175	N
hsa-mir-1-1	4	1.095312	N
hsa-mir-1-2	7	1.916796	N
hsa-mir-100	2790	763.980013	N
hsa-mir-101-1	25214	6904.298223	N
hsa-mir-101-2	24902	6818.863899	N
hsa-mir-103a-1	72245	19782.701083	Y
hsa-mir-103a-2	72205	19771.747964	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	1.095312	N
hsa-mir-105-2	6	1.642968	N
hsa-mir-106a	1353	370.489232	Y
hsa-mir-106b	3666	1003.853307	N
hsa-mir-107	477	130.615938	Y
hsa-mir-10a	13766	3769.515719	N
hsa-mir-10b	24419	6686.604993	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	237	64.897227	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.273828	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	49627	13589.260248	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	2.738280	N
hsa-mir-1227	0	0.000000	N
