miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	75317	17496.867885	N
hsa-let-7a-2	75325	17498.726362	N
hsa-let-7a-3	75664	17577.479342	N
hsa-let-7b	67065	15579.848437	N
hsa-let-7c	11707	2719.649380	N
hsa-let-7d	2618	608.186732	N
hsa-let-7e	2306	535.706113	N
hsa-let-7f-1	45658	10606.795197	N
hsa-let-7f-2	46103	10710.173003	N
hsa-let-7g	4187	972.680614	N
hsa-let-7i	1622	376.806295	N
hsa-mir-1-1	3	0.696929	N
hsa-mir-1-2	1	0.232310	N
hsa-mir-100	28814	6693.771011	Y
hsa-mir-101-1	66506	15449.987328	N
hsa-mir-101-2	67092	15586.120798	N
hsa-mir-103a-1	46848	10883.243712	Y
hsa-mir-103a-2	46799	10871.860538	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	172	39.957264	Y
hsa-mir-106b	5607	1302.560355	N
hsa-mir-107	1078	250.429831	Y
hsa-mir-10a	8491	1972.541461	N
hsa-mir-10b	85518	19866.658892	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.232310	N
hsa-mir-1180	104	24.160206	N
hsa-mir-1181	2	0.464619	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.232310	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	249146	57879.026595	N
hsa-mir-1224	13	3.020026	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.464619	N
hsa-mir-1227	1	0.232310	N
hsa-mir-1228	3	0.696929	N
hsa-mir-1229	1	0.232310	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	5	1.161548	N
hsa-mir-1249	3	0.696929	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.232310	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.232310	N
hsa-mir-1254-2	1	0.232310	N
hsa-mir-1255a	4	0.929239	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.464619	N
hsa-mir-125a	519	120.568722	N
hsa-mir-125b-1	1075	249.732902	N
hsa-mir-125b-2	1140	264.833031	N
hsa-mir-126	34273	7961.949534	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.696929	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	4.413884	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	2.090787	N
hsa-mir-1269b	2	0.464619	N
hsa-mir-127	911	211.634115	N
hsa-mir-1270	2	0.464619	N
hsa-mir-1271	6	1.393858	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.232310	N
hsa-mir-1277	34	7.898529	N
hsa-mir-1278	1	0.232310	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	746	173.303018	N
hsa-mir-128-2	494	114.760980	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.232310	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	55	12.777032	N
hsa-mir-1288	2	0.464619	N
hsa-mir-1289-1	1	0.232310	N
hsa-mir-1289-2	0	0.000000	N
