miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	83238	12052.150986	N
hsa-let-7a-2	83203	12047.083285	Y
hsa-let-7a-3	83213	12048.531199	Y
hsa-let-7b	83801	12133.668574	Y
hsa-let-7c	42594	6167.247160	Y
hsa-let-7d	2908	421.053546	N
hsa-let-7e	4921	712.518741	N
hsa-let-7f-1	49532	7171.810262	N
hsa-let-7f-2	50210	7269.978868	N
hsa-let-7g	8230	1191.633660	N
hsa-let-7i	1836	265.837108	N
hsa-mir-1-1	30	4.343744	N
hsa-mir-1-2	40	5.791658	N
hsa-mir-100	51679	7482.677513	Y
hsa-mir-101-1	182975	26493.216158	N
hsa-mir-101-2	183832	26617.302434	N
hsa-mir-103a-1	48900	7080.302064	Y
hsa-mir-103a-2	49300	7138.218645	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	57	8.253113	Y
hsa-mir-106b	2236	323.753689	N
hsa-mir-107	753	109.027964	Y
hsa-mir-10a	233533	33813.582452	N
hsa-mir-10b	7402	1071.746337	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.434374	N
hsa-mir-1180	50	7.239573	N
hsa-mir-1181	2	0.289583	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.434374	N
hsa-mir-1185-2	1	0.144791	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	322273	46662.376013	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.144791	N
hsa-mir-1226	4	0.579166	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	2.751038	N
hsa-mir-1229	1	0.144791	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.579166	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.144791	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	288	41.699939	N
hsa-mir-1248	22	3.185412	N
hsa-mir-1249	12	1.737497	N
hsa-mir-1250	3	0.434374	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.144791	N
hsa-mir-1255a	4	0.579166	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.144791	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	48	6.949990	N
hsa-mir-125a	3246	469.993057	N
hsa-mir-125b-1	3855	558.171052	N
hsa-mir-125b-2	4241	614.060553	N
hsa-mir-126	68172	9870.722951	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.447915	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.158332	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.144791	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6274	908.421578	N
hsa-mir-1270	5	0.723957	N
hsa-mir-1271	14	2.027080	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.723957	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	20	2.895829	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	784	113.516499	N
hsa-mir-128-2	552	79.924882	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.144791	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	127	18.388515	N
hsa-mir-1288	3	0.434374	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.289583	N
hsa-mir-129-2	4	0.579166	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.868749	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	161	23.311424	N
hsa-mir-1296	37	5.357284	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	30	4.343744	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.289583	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.434374	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	57	8.253113	N
hsa-mir-1307	7269	1052.489074	N
hsa-mir-130a	874	126.547730	N
hsa-mir-130b	175	25.338504	N
hsa-mir-132	230	33.302034	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.144791	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	17	2.461455	Y
hsa-mir-133a-2	13	1.882289	Y
hsa-mir-133b	3	0.434374	Y
hsa-mir-134	2717	393.398378	N
hsa-mir-1343	3	0.434374	N
hsa-mir-135a-1	1	0.144791	N
hsa-mir-135a-2	1	0.144791	N
hsa-mir-135b	7	1.013540	N
hsa-mir-136	322	46.622848	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	3711	537.321083	N
hsa-mir-140	6729	974.301689	N
hsa-mir-141	20	2.895829	N
hsa-mir-142	17692	2561.650391	N
hsa-mir-143	409822	59338.722954	N
hsa-mir-144	1694	245.276722	N
hsa-mir-145	17751	2570.193087	N
hsa-mir-1468	172	24.904130	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	674	97.589439	N
hsa-mir-146b	6607	956.637132	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.144791	N
hsa-mir-148a	1231766	178349.189204	N
hsa-mir-148b	959	138.855004	N
hsa-mir-149	49	7.094781	N
hsa-mir-150	2211	320.133903	N
hsa-mir-151a	13337	1931.083612	N
hsa-mir-151b	23	3.330203	N
hsa-mir-152	3502	507.059669	N
hsa-mir-153-1	6	0.868749	N
hsa-mir-153-2	85	12.307274	N
hsa-mir-1537	4	0.579166	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	65	9.411444	N
hsa-mir-155	1216	176.066407	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1022	147.976865	N
hsa-mir-15b	1425	206.327821	N
hsa-mir-16-1	2356	341.128664	N
hsa-mir-16-2	2232	323.174524	N
hsa-mir-17	4376	633.607399	Y
hsa-mir-181a-1	2447	354.304686	N
hsa-mir-181a-2	5132	743.069738	N
hsa-mir-181b-1	349	50.532217	N
hsa-mir-181b-2	344	49.808260	N
hsa-mir-181c	144	20.849969	N
hsa-mir-181d	24	3.474995	N
hsa-mir-182	4148	600.594948	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	983	142.329999	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	458	66.314486	N
