miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47878	15067.251591	N
hsa-let-7a-2	47690	15008.087814	Y
hsa-let-7a-3	47803	15043.649020	N
hsa-let-7b	30067	9462.113154	N
hsa-let-7c	12050	3792.146323	Y
hsa-let-7d	3126	983.755137	N
hsa-let-7e	3378	1063.059774	N
hsa-let-7f-1	40063	12607.863747	N
hsa-let-7f-2	40629	12785.984479	N
hsa-let-7g	3871	1218.207338	N
hsa-let-7i	1103	347.115136	N
hsa-mir-1-1	3	0.944103	N
hsa-mir-1-2	13	4.091112	N
hsa-mir-100	32471	10218.654213	N
hsa-mir-101-1	30646	9644.324998	N
hsa-mir-101-2	31510	9916.226610	N
hsa-mir-103a-1	64649	20345.101050	Y
hsa-mir-103a-2	64264	20223.941189	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.314701	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	89	28.008384	Y
hsa-mir-106b	2303	724.756264	N
hsa-mir-107	418	131.544993	Y
hsa-mir-10a	39160	12323.688799	N
hsa-mir-10b	162530	51148.343729	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	61	19.196757	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	59255	18647.604182	N
hsa-mir-1224	3	0.944103	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.629402	N
