miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	171154	17902.085672	N
hsa-let-7a-2	170668	17851.251841	Y
hsa-let-7a-3	171967	17987.122514	N
hsa-let-7b	153612	16067.256297	N
hsa-let-7c	54955	5748.093051	Y
hsa-let-7d	3743	391.504181	N
hsa-let-7e	21802	2280.409875	N
hsa-let-7f-1	99473	10404.513877	N
hsa-let-7f-2	100074	10467.376290	N
hsa-let-7g	5878	614.817413	N
hsa-let-7i	2368	247.684184	N
hsa-mir-1-1	35	3.660873	N
hsa-mir-1-2	44	4.602240	N
hsa-mir-100	43229	4521.596115	N
hsa-mir-101-1	49226	5148.860496	N
hsa-mir-101-2	49583	5186.201397	N
hsa-mir-103a-1	87443	9146.219647	Y
hsa-mir-103a-2	87780	9181.468621	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	42	4.393047	Y
hsa-mir-106b	5810	607.704861	N
hsa-mir-107	1279	133.778746	Y
hsa-mir-10a	127963	13384.464219	N
hsa-mir-10b	21817	2281.978821	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	223	23.324989	N
hsa-mir-1181	2	0.209193	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.313789	N
hsa-mir-1185-2	1	0.104596	N
hsa-mir-1193	1	0.104596	N
hsa-mir-1197	1	0.104596	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	42202	4414.175652	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.418385	N
hsa-mir-1227	1	0.104596	N
hsa-mir-1228	11	1.150560	N
hsa-mir-1229	2	0.209193	N
hsa-mir-1231	1	0.104596	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.627578	N
hsa-mir-1245b	2	0.209193	N
hsa-mir-1246	2	0.209193	N
hsa-mir-1247	34	3.556276	N
hsa-mir-1248	1	0.104596	N
hsa-mir-1249	12	1.255156	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	492	51.461410	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.209193	N
hsa-mir-1254-2	3	0.313789	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
