miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	102248	18181.051968	N
hsa-let-7a-2	101560	18058.716434	N
hsa-let-7a-3	101951	18128.241425	N
hsa-let-7b	87914	15632.276453	N
hsa-let-7c	19617	3488.163059	N
hsa-let-7d	4413	784.689992	N
hsa-let-7e	1707	303.527264	N
hsa-let-7f-1	70088	12462.576973	N
hsa-let-7f-2	72044	12810.379743	N
hsa-let-7g	9186	1633.392764	N
hsa-let-7i	1327	235.958219	N
hsa-mir-1-1	2	0.355627	N
hsa-mir-1-2	1	0.177813	N
hsa-mir-100	40312	7168.008831	Y
hsa-mir-101-1	185244	32938.842724	N
hsa-mir-101-2	185389	32964.625649	N
hsa-mir-103a-1	30669	5453.355399	Y
hsa-mir-103a-2	30896	5493.719013	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.177813	N
hsa-mir-105-2	1	0.177813	N
hsa-mir-106a	50	8.890664	Y
hsa-mir-106b	4682	832.521764	N
hsa-mir-107	520	92.462904	Y
hsa-mir-10a	61513	10937.828121	N
hsa-mir-10b	243714	43335.585042	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.177813	N
hsa-mir-1180	136	24.182606	N
hsa-mir-1181	3	0.533440	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	191938	34129.124801	N
hsa-mir-1224	1	0.177813	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.177813	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.533440	N
hsa-mir-1229	1	0.177813	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.177813	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.889066	N
hsa-mir-1248	2	0.355627	N
hsa-mir-1249	3	0.533440	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.177813	N
hsa-mir-1254-2	1	0.177813	N
hsa-mir-1255a	3	0.533440	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.355627	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
