miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20559	7897.757481	N
hsa-let-7a-2	20544	7891.995218	N
hsa-let-7a-3	20288	7793.652599	N
hsa-let-7b	14892	5720.774571	N
hsa-let-7c	1604	616.177976	N
hsa-let-7d	3076	1181.648038	N
hsa-let-7e	4075	1565.414745	N
hsa-let-7f-1	24240	9311.816788	N
hsa-let-7f-2	24385	9367.518662	N
hsa-let-7g	2412	926.571868	N
hsa-let-7i	1058	406.431607	N
hsa-mir-1-1	1	0.384151	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	1823	700.307013	N
hsa-mir-101-1	13809	5304.739192	N
hsa-mir-101-2	13959	5362.361821	N
hsa-mir-103a-1	57088	21930.404157	Y
hsa-mir-103a-2	57347	22029.899230	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	35	13.445280	Y
hsa-mir-106b	3749	1440.181565	N
hsa-mir-107	379	145.593175	Y
hsa-mir-10a	23984	9213.474168	N
hsa-mir-10b	41215	15832.777595	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	398	152.892041	N
hsa-mir-1181	1	0.384151	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.384151	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	1.152453	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	70166	26954.329073	N
hsa-mir-1224	4	1.536603	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	9.219621	N
hsa-mir-1227	2	0.768302	N
hsa-mir-1228	30	11.524526	N
hsa-mir-1229	5	1.920754	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	1.152453	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.384151	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.384151	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.384151	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	5.378112	N
hsa-mir-1248	17	6.530565	N
hsa-mir-1249	4	1.536603	N
hsa-mir-1250	3	1.152453	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.384151	N
hsa-mir-1254-2	3	1.152453	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	3	1.152453	N
hsa-mir-1258	1	0.384151	N
hsa-mir-125a	865	332.290492	N
hsa-mir-125b-1	139	53.396969	N
hsa-mir-125b-2	165	63.384892	N
hsa-mir-126	22207	8530.838094	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.768302	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.384151	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	81	31.116219	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	576	221.270894	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2468	948.084317	N
hsa-mir-1270	3	1.152453	N
hsa-mir-1271	10	3.841509	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.768302	N
hsa-mir-1276	4	1.536603	N
hsa-mir-1277	2	0.768302	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	433	166.337321	N
hsa-mir-128-2	325	124.849029	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	1.152453	N
hsa-mir-1285-1	1	0.384151	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	119	45.713952	N
hsa-mir-1288	1	0.384151	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	2	0.768302	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	10	3.841509	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.768302	N
hsa-mir-1295a	6	2.304905	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	14	5.378112	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
