miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78650	12048.357035	N
hsa-let-7a-2	78030	11953.379522	Y
hsa-let-7a-3	78891	12085.275713	N
hsa-let-7b	80560	12340.949049	N
hsa-let-7c	49625	7602.030742	Y
hsa-let-7d	3031	464.317485	N
hsa-let-7e	3560	545.354749	N
hsa-let-7f-1	44570	6827.657635	N
hsa-let-7f-2	45448	6962.158048	N
hsa-let-7g	8334	1276.681596	N
hsa-let-7i	1874	287.077191	N
hsa-mir-1-1	6	0.919137	N
hsa-mir-1-2	10	1.531895	N
hsa-mir-100	51889	7948.851852	Y
hsa-mir-101-1	231040	35392.910480	N
hsa-mir-101-2	231387	35446.067249	N
hsa-mir-103a-1	44386	6799.470761	Y
hsa-mir-103a-2	44609	6833.632027	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	67	10.263699	Y
hsa-mir-106b	2373	363.518770	N
hsa-mir-107	773	118.415512	Y
hsa-mir-10a	160101	24525.797960	N
hsa-mir-10b	3816	584.571271	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.306379	N
hsa-mir-1180	39	5.974392	N
hsa-mir-1181	1	0.153190	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.459569	N
hsa-mir-1185-2	2	0.306379	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	275321	42176.296340	N
hsa-mir-1224	1	0.153190	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.153190	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	2.451033	N
hsa-mir-1229	1	0.153190	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.153190	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.459569	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	356	54.535475	N
hsa-mir-1248	6	0.919137	N
hsa-mir-1249	11	1.685085	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	5	0.765948	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.306379	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	174	26.654979	N
hsa-mir-125a	2436	373.169711	N
hsa-mir-125b-1	3847	589.320146	N
hsa-mir-125b-2	4282	655.957595	N
hsa-mir-126	69752	10685.276540	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.306379	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	2.297843	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.612758	N
hsa-mir-1269b	14	2.144654	N
hsa-mir-127	5602	858.167783	N
hsa-mir-1270	7	1.072327	N
hsa-mir-1271	14	2.144654	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.459569	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	26	3.982928	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	598	91.607343	N
hsa-mir-128-2	452	69.241670	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.153190	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	97	14.859385	N
hsa-mir-1288	3	0.459569	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.459569	N
hsa-mir-129-2	2	0.306379	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.919137	N
hsa-mir-1292	2	0.306379	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	14	2.144654	N
hsa-mir-1295b	178	27.267737	N
hsa-mir-1296	46	7.046719	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	42	6.433961	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	23	3.523359	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	93	14.246627	N
hsa-mir-1307	6888	1055.169526	N
hsa-mir-130a	871	133.428086	N
hsa-mir-130b	402	61.582194	N
hsa-mir-132	245	37.531436	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.378706	N
hsa-mir-133a-2	6	0.919137	Y
hsa-mir-133b	3	0.459569	Y
hsa-mir-134	2567	393.237540	N
hsa-mir-1343	7	1.072327	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	19	2.910601	N
hsa-mir-136	344	52.697201	N
hsa-mir-137	1	0.153190	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.153190	N
hsa-mir-139	3293	504.453143	N
hsa-mir-140	6001	919.290408	N
hsa-mir-141	24	3.676549	N
hsa-mir-142	13989	2142.968424	N
hsa-mir-143	386667	59233.338455	N
hsa-mir-144	3297	505.065901	N
hsa-mir-145	10792	1653.221476	N
hsa-mir-1468	145	22.212483	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	477	73.071409	N
hsa-mir-146b	4964	760.432858	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	1151047	176328.356256	N
hsa-mir-148b	1296	198.533639	N
hsa-mir-149	74	11.336026	N
hsa-mir-150	1684	257.971179	N
hsa-mir-151a	13547	2075.258649	N
hsa-mir-151b	28	4.289307	N
hsa-mir-152	5965	913.775584	N
hsa-mir-153-1	4	0.612758	N
hsa-mir-153-2	105	16.084901	N
hsa-mir-1537	4	0.612758	N
hsa-mir-1538	3	0.459569	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	54	8.272235	N
hsa-mir-155	630	96.509408	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	832	127.453694	N
hsa-mir-15b	2006	307.298210	N
hsa-mir-16-1	2671	409.169252	N
hsa-mir-16-2	2694	412.692611	N
hsa-mir-17	3889	595.754107	Y
hsa-mir-181a-1	1857	284.472969	N
hsa-mir-181a-2	6104	935.068930	N
hsa-mir-181b-1	361	55.301423	N
hsa-mir-181b-2	300	45.956861	N
hsa-mir-181c	143	21.906104	N
hsa-mir-181d	35	5.361634	N
hsa-mir-182	7740	1185.687011	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	1	0.153190	N
hsa-mir-183	2324	356.012482	N
hsa-mir-184	18	2.757412	N
hsa-mir-185	434	66.484259	N
hsa-mir-186	1996	305.766315	N
hsa-mir-187	50	7.659477	N
hsa-mir-188	20	3.063791	N
hsa-mir-18a	50	7.659477	Y
hsa-mir-18b	6	0.919137	Y
hsa-mir-1908	1	0.153190	N
hsa-mir-1909	2	0.306379	N
hsa-mir-190a	22	3.370170	N
hsa-mir-190b	2	0.306379	N
hsa-mir-191	6433	985.468287	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.153190	N
hsa-mir-1913	1	0.153190	N
hsa-mir-1914	1	0.153190	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	435288	66681.566902	Y
hsa-mir-193a	4148	635.430197	N
hsa-mir-193b	1213	185.818908	N
hsa-mir-194-1	77581	11884.597420	N
hsa-mir-194-2	82438	12628.638998	N
hsa-mir-195	754	115.504910	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	1	0.153190	N
hsa-mir-196b	38	5.821202	N
hsa-mir-197	2539	388.948233	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	42	6.433961	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6092	933.230655	Y
hsa-mir-199a-2	10197	1562.073702	Y
hsa-mir-199b	12932	1981.047084	Y
hsa-mir-19a	138	21.140156	N
hsa-mir-19b-1	443	67.862965	N
hsa-mir-19b-2	376	57.599266	N
hsa-mir-200a	411	62.960899	N
hsa-mir-200b	453	69.394860	N
hsa-mir-200c	148	22.672051	N
hsa-mir-202	2	0.306379	N
hsa-mir-203a	10616	1626.260118	N
hsa-mir-203b	2	0.306379	N
hsa-mir-204	166	25.429463	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.153190	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1310	200.678293	N
hsa-mir-20b	31	4.748876	N
hsa-mir-21	288593	44209.427866	N
hsa-mir-210	2207	338.089307	N
hsa-mir-211	12	1.838274	N
hsa-mir-2110	7	1.072327	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.459569	N
hsa-mir-2115	1	0.153190	N
hsa-mir-2116	7	1.072327	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	22	3.370170	N
hsa-mir-214	213	32.629371	N
hsa-mir-215	3178	486.836347	Y
hsa-mir-216a	57	8.731804	N
hsa-mir-216b	31	4.748876	N
hsa-mir-217	1167	178.772189	N
hsa-mir-218-1	93	14.246627	N
hsa-mir-218-2	78	11.948784	N
hsa-mir-219a-1	28	4.289307	N
hsa-mir-219a-2	3	0.459569	N
hsa-mir-219b	3	0.459569	N
hsa-mir-22	1132126	173429.857039	N
hsa-mir-221	220	33.701698	N
hsa-mir-222	42	6.433961	N
hsa-mir-223	1746	267.468930	N
hsa-mir-224	86	13.174300	N
hsa-mir-2276	2	0.306379	N
hsa-mir-2277	1	0.153190	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	204	31.250665	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8905	1364.152821	Y
hsa-mir-23b	21530	3298.170718	Y
hsa-mir-23c	5	0.765948	N
hsa-mir-24-1	9117	1396.629003	N
hsa-mir-24-2	7938	1216.018540	N
hsa-mir-2467	1	0.153190	N
hsa-mir-25	32724	5012.974388	N
hsa-mir-2681	3	0.459569	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	17583	2693.531618	N
hsa-mir-26a-2	17538	2686.638089	N
hsa-mir-26b	26469	4054.773838	N
hsa-mir-27a	5229	801.028086	Y
hsa-mir-27b	52728	8077.377873	Y
hsa-mir-28	27674	4239.367229	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	51	7.812666	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	51	7.812666	N
hsa-mir-29a	93703	14354.319125	N
hsa-mir-29b-1	2039	312.353465	Y
hsa-mir-29b-2	2025	310.208811	Y
hsa-mir-29c	34445	5276.613580	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	27	4.136117	N
hsa-mir-301b	3	0.459569	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.306379	N
hsa-mir-3065	259	39.676090	N
hsa-mir-3074	24	3.676549	N
hsa-mir-30a	219382	33607.026865	Y
hsa-mir-30b	7467	1143.866268	Y
hsa-mir-30c-1	2895	443.483708	Y
hsa-mir-30c-2	3370	516.248738	Y
hsa-mir-30d	37533	5749.662868	N
hsa-mir-30e	258441	39590.456966	Y
hsa-mir-31	2	0.306379	N
hsa-mir-3115	1	0.153190	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.153190	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.306379	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	5	0.765948	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	35	5.361634	N
hsa-mir-3130-2	44	6.740340	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	0.765948	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.153190	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.153190	N
hsa-mir-3145	3	0.459569	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	2	0.306379	N
hsa-mir-3150b	5	0.765948	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	1	0.153190	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	4	0.612758	N
hsa-mir-3158-1	1	0.153190	N
hsa-mir-3158-2	1	0.153190	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.153190	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	1	0.153190	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	6	0.919137	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	3	0.459569	N
hsa-mir-3174	1	0.153190	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	2	0.306379	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	1	0.153190	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	2	0.306379	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	1	0.153190	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	0	0.000000	N
hsa-mir-3194	1	0.153190	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
