miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	8196	4699.290691	N
hsa-let-7a-2	8110	4649.981394	N
hsa-let-7a-3	8118	4654.568306	N
hsa-let-7b	6101	3498.093278	N
hsa-let-7c	4076	2337.031339	N
hsa-let-7d	719	412.248659	N
hsa-let-7e	547	313.630064	N
hsa-let-7f-1	4989	2860.512599	N
hsa-let-7f-2	5260	3015.894221	N
hsa-let-7g	1339	767.734289	N
hsa-let-7i	303	173.729268	N
hsa-mir-1-1	4	2.293456	N
hsa-mir-1-2	8	4.586911	N
hsa-mir-100	8309	4764.080814	N
hsa-mir-101-1	15023	8613.646176	N
hsa-mir-101-2	15192	8710.544679	N
hsa-mir-103a-1	28647	16425.156227	Y
hsa-mir-103a-2	28611	16404.515126	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	14	8.027095	Y
hsa-mir-106b	293	167.995629	N
hsa-mir-107	224	128.433518	Y
hsa-mir-10a	32929	18880.300534	N
hsa-mir-10b	91558	52496.053823	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	25	14.334098	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	87088	49933.117099	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.573364	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.573364	N
hsa-mir-1229	2	1.146728	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	5.160275	N
hsa-mir-1248	1	0.573364	N
hsa-mir-1249	5	2.866820	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.573364	N
hsa-mir-1254-2	1	0.573364	N
hsa-mir-1255a	1	0.573364	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.573364	N
hsa-mir-125a	582	333.697802	N
hsa-mir-125b-1	657	376.700096	N
hsa-mir-125b-2	678	388.740738	N
hsa-mir-126	12791	7333.897906	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	4.586911	N
