miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68731	5039.170864	N
hsa-let-7a-2	68386	5013.876397	N
hsa-let-7a-3	68765	5041.663651	N
hsa-let-7b	86985	6377.504730	N
hsa-let-7c	5825	427.073232	N
hsa-let-7d	4226	309.838880	N
hsa-let-7e	14356	1052.543058	N
hsa-let-7f-1	42460	3113.052260	N
hsa-let-7f-2	42479	3114.445288	N
hsa-let-7g	5427	397.892949	N
hsa-let-7i	6787	497.604467	N
hsa-mir-1-1	53	3.885817	N
hsa-mir-1-2	71	5.205528	N
hsa-mir-100	42547	3119.430864	Y
hsa-mir-101-1	50124	3674.955993	N
hsa-mir-101-2	50696	3716.893485	N
hsa-mir-103a-1	68897	5051.341534	Y
hsa-mir-103a-2	69284	5079.715327	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.073317	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	93	6.818508	Y
hsa-mir-106b	5445	399.212660	N
hsa-mir-107	757	55.501191	Y
hsa-mir-10a	441374	32360.346870	N
hsa-mir-10b	5691	417.248714	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.073317	N
hsa-mir-1180	194	14.223555	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.659856	N
hsa-mir-1185-2	5	0.366586	N
hsa-mir-1193	2	0.146635	N
hsa-mir-1197	2	0.146635	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	389	28.520427	N
hsa-mir-1224	3	0.219952	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	0.586538	N
hsa-mir-1227	2	0.146635	N
hsa-mir-1228	3	0.219952	N
hsa-mir-1229	4	0.293269	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
