miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42836	10498.214230	N
hsa-let-7a-2	42759	10479.343129	N
hsa-let-7a-3	42989	10535.711354	N
hsa-let-7b	16194	3968.813177	N
hsa-let-7c	6634	1625.855664	N
hsa-let-7d	7254	1777.804791	N
hsa-let-7e	3094	758.275162	N
hsa-let-7f-1	51605	12647.314066	N
hsa-let-7f-2	52195	12791.910817	N
hsa-let-7g	4407	1080.064201	N
hsa-let-7i	1386	339.679824	N
hsa-mir-1-1	1	0.245079	N
hsa-mir-1-2	1	0.245079	N
hsa-mir-100	4249	1041.341681	N
hsa-mir-101-1	27781	6808.546305	N
hsa-mir-101-2	27890	6835.259942	N
hsa-mir-103a-1	74293	18207.671813	Y
hsa-mir-103a-2	74679	18302.272399	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.735238	N
hsa-mir-105-2	4	0.980317	N
hsa-mir-106a	43	10.538407	Y
hsa-mir-106b	3912	958.749978	N
hsa-mir-107	747	183.074191	Y
hsa-mir-10a	11663	2858.359150	N
hsa-mir-10b	24201	5931.162634	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	398	97.541537	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.245079	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.245079	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	64297	15757.859752	N
hsa-mir-1224	4	0.980317	N
hsa-mir-1225	0	0.000000	N
