miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13629	6181.636426	N
hsa-let-7a-2	13595	6166.215218	N
hsa-let-7a-3	13788	6253.753250	N
hsa-let-7b	5636	2556.291943	N
hsa-let-7c	1235	560.152688	N
hsa-let-7d	758	343.802217	N
hsa-let-7e	750	340.173697	N
hsa-let-7f-1	9901	4490.746368	N
hsa-let-7f-2	10420	4726.146567	N
hsa-let-7g	1439	652.679934	N
hsa-let-7i	335	151.944251	N
hsa-mir-1-1	2	0.907130	N
hsa-mir-1-2	2	0.907130	N
hsa-mir-100	10888	4938.414954	N
hsa-mir-101-1	8255	3744.178494	N
hsa-mir-101-2	8612	3906.101174	N
hsa-mir-103a-1	46058	20890.293529	Y
hsa-mir-103a-2	45607	20685.735746	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	138	62.591960	N
hsa-mir-105-2	148	67.127610	N
hsa-mir-106a	32	14.514078	Y
hsa-mir-106b	591	268.056873	N
hsa-mir-107	166	75.291778	Y
hsa-mir-10a	17040	7728.746401	N
hsa-mir-10b	222289	100822.494643	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	10	4.535649	N
hsa-mir-1181	1	0.453565	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	65033	29496.688069	N
hsa-mir-1224	1	0.453565	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.453565	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.360695	N
hsa-mir-1229	2	0.907130	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
