miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62438	9295.224076	N
hsa-let-7a-2	62382	9286.887285	Y
hsa-let-7a-3	62564	9313.981855	N
hsa-let-7b	43100	6416.351543	N
hsa-let-7c	1933	287.768156	Y
hsa-let-7d	5264	783.658342	N
hsa-let-7e	3937	586.106172	N
hsa-let-7f-1	69417	10334.196638	N
hsa-let-7f-2	71223	10603.058143	N
hsa-let-7g	9355	1392.690689	N
hsa-let-7i	2944	438.277006	N
hsa-mir-1-1	44	6.550336	N
hsa-mir-1-2	65	9.676632	N
hsa-mir-100	37430	5572.251468	N
hsa-mir-101-1	37806	5628.227064	N
hsa-mir-101-2	39357	5859.126397	N
hsa-mir-103a-1	154252	22963.690447	Y
hsa-mir-103a-2	155230	23109.286545	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.148871	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	70	10.420989	Y
hsa-mir-106b	3536	526.408795	N
hsa-mir-107	1547	230.303848	Y
hsa-mir-10a	34082	5073.830471	N
hsa-mir-10b	152012	22630.218812	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.148871	N
hsa-mir-1180	118	17.566809	N
hsa-mir-1181	2	0.297743	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	28	4.168395	N
hsa-mir-1185-2	7	1.042099	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.297743	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	238281	35473.194017	N
hsa-mir-1224	11	1.637584	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	4.168395	N
hsa-mir-1227	2	0.297743	N
hsa-mir-1228	35	5.210494	N
hsa-mir-1229	16	2.381940	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.148871	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2676	398.379507	N
hsa-mir-1248	5	0.744356	N
hsa-mir-1249	11	1.637584	N
hsa-mir-1250	2	0.297743	N
hsa-mir-1251	3	0.446614	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.148871	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.446614	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.637584	N
hsa-mir-125a	1742	259.333745	N
hsa-mir-125b-1	1275	189.810864	N
hsa-mir-125b-2	1317	196.063457	N
hsa-mir-126	19912	2964.324639	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.786455	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12947	1927.436275	N
hsa-mir-1269b	12	1.786455	N
hsa-mir-127	8705	1295.924366	N
hsa-mir-1270	18	2.679683	N
hsa-mir-1271	18	2.679683	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.148871	N
hsa-mir-1275	1	0.148871	N
hsa-mir-1276	5	0.744356	N
hsa-mir-1277	22	3.275168	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	768	114.333132	N
hsa-mir-128-2	534	79.497256	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.148871	N
hsa-mir-1284	11	1.637584	N
hsa-mir-1285-1	1	0.148871	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	171	25.456986	N
hsa-mir-1288	5	0.744356	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.148871	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.148871	N
hsa-mir-1292	7	1.042099	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.148871	N
hsa-mir-1295a	4	0.595485	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	50	7.443563	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	65	9.676632	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
