miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	23119	5879.580874	N
hsa-let-7a-2	22970	5841.687472	N
hsa-let-7a-3	22975	5842.959063	N
hsa-let-7b	21059	5355.685523	N
hsa-let-7c	9682	2462.308146	N
hsa-let-7d	968	246.179951	N
hsa-let-7e	3141	798.813250	N
hsa-let-7f-1	15859	4033.231242	N
hsa-let-7f-2	16506	4197.775072	N
hsa-let-7g	3358	854.000284	N
hsa-let-7i	1607	408.689237	N
hsa-mir-1-1	29	7.375226	N
hsa-mir-1-2	21	5.340681	N
hsa-mir-100	17753	4514.909782	N
hsa-mir-101-1	23916	6082.272424	N
hsa-mir-101-2	24853	6320.568513	N
hsa-mir-103a-1	59211	15058.430862	Y
hsa-mir-103a-2	58962	14995.105648	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	20	5.086363	N
hsa-mir-105-2	16	4.069090	N
hsa-mir-106a	41	10.427043	Y
hsa-mir-106b	1120	284.836307	N
hsa-mir-107	306	77.821348	Y
hsa-mir-10a	85380	21713.682036	N
hsa-mir-10b	83625	21267.353716	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.254318	N
hsa-mir-1180	42	10.681362	N
hsa-mir-1181	1	0.254318	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.254318	N
hsa-mir-1185-2	1	0.254318	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	113621	28895.880377	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.254318	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.543181	N
hsa-mir-1229	1	0.254318	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	3.051818	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	6.357953	N
hsa-mir-1248	46	11.698634	N
hsa-mir-1249	4	1.017273	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.762954	N
hsa-mir-1255a	1	0.254318	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	3.814772	N
hsa-mir-125a	1957	497.700583	N
hsa-mir-125b-1	1473	374.610607	N
hsa-mir-125b-2	1606	408.434919	N
hsa-mir-126	35450	9015.577748	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	26	6.612271	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	626	159.203150	N
hsa-mir-1269b	231	58.747488	N
hsa-mir-127	2090	531.524894	N
hsa-mir-1270	4	1.017273	N
hsa-mir-1271	6	1.525909	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.508636	N
hsa-mir-1277	11	2.797499	N
hsa-mir-1278	1	0.254318	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	266	67.648623	N
hsa-mir-128-2	150	38.147720	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.254318	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	27	6.866590	N
hsa-mir-1288	2	0.508636	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.254318	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.762954	N
hsa-mir-1292	3	0.762954	N
hsa-mir-1293	1	0.254318	N
hsa-mir-1294	1	0.254318	N
hsa-mir-1295a	4	1.017273	N
hsa-mir-1295b	63	16.022042	N
hsa-mir-1296	24	6.103635	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	45	11.444316	N
hsa-mir-1302-1	0	0.000000	N
