miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52163	12127.480951	N
hsa-let-7a-2	51842	12052.851015	Y
hsa-let-7a-3	51775	12037.274050	N
hsa-let-7b	76100	17692.642302	N
hsa-let-7c	29599	6881.531137	Y
hsa-let-7d	2584	600.759365	N
hsa-let-7e	3034	705.380772	N
hsa-let-7f-1	24156	5616.077102	N
hsa-let-7f-2	25047	5823.227487	N
hsa-let-7g	4998	1161.995088	N
hsa-let-7i	1576	366.407415	N
hsa-mir-1-1	23	5.347316	N
hsa-mir-1-2	36	8.369713	N
hsa-mir-100	24149	5614.449658	Y
hsa-mir-101-1	92724	21557.589551	N
hsa-mir-101-2	93768	21800.311214	N
hsa-mir-103a-1	44962	10453.305955	Y
hsa-mir-103a-2	45659	10615.352889	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.232492	N
hsa-mir-106a	42	9.764665	Y
hsa-mir-106b	1897	441.037351	N
hsa-mir-107	607	141.122653	Y
hsa-mir-10a	144668	33634.154751	N
hsa-mir-10b	6363	1479.346688	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	45	10.462141	N
hsa-mir-1181	2	0.464984	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.697476	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.232492	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	175774	40866.051353	N
hsa-mir-1224	8	1.859936	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.232492	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	31	7.207252	N
hsa-mir-1229	1	0.232492	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
