miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30805	5893.108707	N
hsa-let-7a-2	30638	5861.160999	N
hsa-let-7a-3	30324	5801.091655	N
hsa-let-7b	7582	1450.464217	N
hsa-let-7c	9180	1756.167438	N
hsa-let-7d	454	86.851854	N
hsa-let-7e	906	173.321100	N
hsa-let-7f-1	6840	1308.516915	N
hsa-let-7f-2	6822	1305.073449	N
hsa-let-7g	1150	219.999189	N
hsa-let-7i	353	67.530186	N
hsa-mir-1-1	3	0.573911	N
hsa-mir-1-2	3	0.573911	N
hsa-mir-100	90441	17301.692731	N
hsa-mir-101-1	66209	12666.022866	N
hsa-mir-101-2	66992	12815.813618	N
hsa-mir-103a-1	60364	11547.853076	Y
hsa-mir-103a-2	60880	11646.565755	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	204	39.025943	N
hsa-mir-105-2	213	40.747676	N
hsa-mir-106a	19	3.634769	Y
hsa-mir-106b	2075	396.955058	N
hsa-mir-107	1623	310.485812	Y
hsa-mir-10a	9949	1903.279939	N
hsa-mir-10b	53148	10167.405991	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	103	19.704275	N
hsa-mir-1181	1	0.191304	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	144881	27716.263029	N
hsa-mir-1224	1	0.191304	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.573911	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.956518	N
hsa-mir-1229	2	0.382607	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.191304	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	41	7.843449	N
hsa-mir-1249	3	0.573911	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	13	2.486947	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.382607	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	250	47.825911	N
hsa-mir-125b-1	1811	346.450897	N
hsa-mir-125b-2	2017	385.859447	N
hsa-mir-126	15743	3011.693244	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	2.295644	N
hsa-mir-1267	1	0.191304	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	18	3.443466	N
hsa-mir-1269b	2032	388.729002	N
hsa-mir-127	541	103.495271	N
hsa-mir-1270	7	1.339125	N
hsa-mir-1271	6	1.147822	N
hsa-mir-1272	1	0.191304	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	1.913036	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	826	158.016809	N
hsa-mir-128-2	691	132.190817	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.956518	N
hsa-mir-1283-2	4	0.765215	N
hsa-mir-1284	3	0.573911	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	12	2.295644	N
hsa-mir-1288	1	0.191304	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.191304	N
hsa-mir-129-2	3	0.573911	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.382607	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.191304	N
hsa-mir-1295a	3	0.573911	N
hsa-mir-1295b	38	7.269538	N
hsa-mir-1296	12	2.295644	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	33	6.313020	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.191304	N
hsa-mir-1304	1	0.191304	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	32	6.121717	N
hsa-mir-1307	8953	1712.741511	N
hsa-mir-130a	170	32.521619	N
hsa-mir-130b	264	50.504162	N
hsa-mir-132	248	47.443303	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	34	6.504324	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.191304	N
hsa-mir-133a-2	4	0.765215	Y
hsa-mir-133b	1	0.191304	Y
hsa-mir-134	125	23.912955	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	16	3.060858	N
hsa-mir-135a-2	26	4.973895	N
hsa-mir-135b	3	0.573911	N
hsa-mir-136	21	4.017376	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	3	0.573911	N
hsa-mir-139	213	40.747676	N
hsa-mir-140	7563	1446.829448	N
hsa-mir-141	13	2.486947	N
hsa-mir-142	2757	527.424142	N
hsa-mir-143	75073	14361.738353	N
hsa-mir-144	288	55.095449	N
hsa-mir-145	1490	285.042427	N
hsa-mir-1468	57	10.904308	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	170	32.521619	N
hsa-mir-146b	3468	663.441032	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.956518	N
hsa-mir-148a	793459	151791.596873	N
hsa-mir-148b	1573	300.920630	N
hsa-mir-149	28	5.356502	N
hsa-mir-150	332	63.512809	N
hsa-mir-151a	9326	1784.097770	N
hsa-mir-151b	17	3.252162	N
hsa-mir-152	2354	450.328774	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	10	1.913036	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	3	0.573911	N
hsa-mir-155	1017	194.555804	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	438	83.790995	N
hsa-mir-15b	1135	217.129634	N
hsa-mir-16-1	575	109.999594	N
hsa-mir-16-2	607	116.121311	N
hsa-mir-17	16723	3199.170813	Y
hsa-mir-181a-1	1639	313.546670	N
hsa-mir-181a-2	1940	371.129066	N
hsa-mir-181b-1	289	55.286753	N
hsa-mir-181b-2	312	59.686736	N
hsa-mir-181c	33	6.313020	N
hsa-mir-181d	6	1.147822	N
hsa-mir-182	9541	1825.228053	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3131	598.971705	N
hsa-mir-184	257	49.165036	N
hsa-mir-185	350	66.956275	N
hsa-mir-186	1571	300.538022	N
hsa-mir-187	1	0.191304	N
hsa-mir-188	37	7.078235	N
hsa-mir-18a	169	32.330316	Y
hsa-mir-18b	2	0.382607	Y
hsa-mir-1908	1	0.191304	N
hsa-mir-1909	0	0.000000	N
