miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	122555	12948.045643	N
hsa-let-7a-2	121399	12825.913207	Y
hsa-let-7a-3	122220	12912.652593	N
hsa-let-7b	70359	7433.491440	N
hsa-let-7c	31309	3307.823924	Y
hsa-let-7d	3887	410.665035	N
hsa-let-7e	7424	784.352257	N
hsa-let-7f-1	81823	8644.673320	N
hsa-let-7f-2	84485	8925.916006	N
hsa-let-7g	6331	668.875827	N
hsa-let-7i	1644	173.690074	N
hsa-mir-1-1	26	2.746923	N
hsa-mir-1-2	32	3.380829	N
hsa-mir-100	23676	2501.390630	N
hsa-mir-101-1	28005	2958.753362	N
hsa-mir-101-2	28484	3009.360141	N
hsa-mir-103a-1	102889	10870.315109	Y
hsa-mir-103a-2	103141	10896.939135	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	289	30.533109	N
hsa-mir-105-2	318	33.596985	N
hsa-mir-106a	68	7.184261	Y
hsa-mir-106b	3372	356.254824	N
hsa-mir-107	736	77.759060	Y
hsa-mir-10a	291580	30805.688456	N
hsa-mir-10b	63273	6684.849186	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.105651	N
hsa-mir-1180	53	5.599498	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.211302	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	78616	8305.850894	N
hsa-mir-1224	2	0.211302	N
hsa-mir-1225	1	0.105651	N
hsa-mir-1226	6	0.633905	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.422604	N
hsa-mir-1229	4	0.422604	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.105651	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.211302	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	13	1.373462	N
hsa-mir-1248	8	0.845207	N
hsa-mir-1249	8	0.845207	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.422604	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
