miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	61592	10592.267191	N
hsa-let-7a-2	61725	10615.139829	N
hsa-let-7a-3	61722	10614.623905	N
hsa-let-7b	61137	10514.018692	N
hsa-let-7c	9717	1671.078392	N
hsa-let-7d	3987	685.663224	N
hsa-let-7e	1663	285.993966	N
hsa-let-7f-1	44427	7640.321056	N
hsa-let-7f-2	46400	7979.627186	N
hsa-let-7g	9789	1683.460572	N
hsa-let-7i	1678	288.573587	N
hsa-mir-1-1	6	1.031848	N
hsa-mir-1-2	7	1.203823	N
hsa-mir-100	9673	1663.511504	N
hsa-mir-101-1	73827	12696.377937	N
hsa-mir-101-2	75055	12907.562898	N
hsa-mir-103a-1	112254	19304.850650	Y
hsa-mir-103a-2	112635	19370.373020	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	35	6.019115	Y
hsa-mir-106b	5290	909.746289	N
hsa-mir-107	806	138.611627	Y
hsa-mir-10a	25487	4383.119787	N
hsa-mir-10b	427603	73536.907839	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.343949	N
hsa-mir-1180	89	15.305750	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	231177	39756.600734	N
hsa-mir-1224	3	0.515924	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.515924	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.687899	N
hsa-mir-1229	6	1.031848	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.171975	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	1.031848	N
hsa-mir-1248	8	1.375798	N
hsa-mir-1249	5	0.859874	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.343949	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.171975	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.343949	N
hsa-mir-125a	618	106.280379	N
hsa-mir-125b-1	897	154.261327	N
hsa-mir-125b-2	936	160.968342	N
hsa-mir-126	39877	6857.836063	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.171975	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.859874	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	85	14.617852	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.687899	N
hsa-mir-1269b	8	1.375798	N
hsa-mir-127	962	165.439684	N
hsa-mir-1270	3	0.515924	N
hsa-mir-1271	6	1.031848	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.171975	N
hsa-mir-1277	21	3.611469	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	565	97.165719	N
hsa-mir-128-2	342	58.815356	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	7	1.203823	N
hsa-mir-1288	5	0.859874	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
