miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53841	6784.643854	N
hsa-let-7a-2	54317	6844.625847	N
hsa-let-7a-3	54153	6823.959782	N
hsa-let-7b	64329	8106.263897	N
hsa-let-7c	7143	900.107930	N
hsa-let-7d	2476	312.007173	N
hsa-let-7e	4777	601.962142	N
hsa-let-7f-1	34762	4380.449651	N
hsa-let-7f-2	35219	4438.037404	N
hsa-let-7g	5573	702.268164	N
hsa-let-7i	3045	383.708336	N
hsa-mir-1-1	37	4.662466	N
hsa-mir-1-2	26	3.276327	N
hsa-mir-100	46980	5920.071474	N
hsa-mir-101-1	50809	6402.573681	N
hsa-mir-101-2	51499	6489.522368	N
hsa-mir-103a-1	68705	8657.694990	Y
hsa-mir-103a-2	68983	8692.726490	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.126013	N
hsa-mir-105-2	2	0.252025	N
hsa-mir-106a	65	8.190818	Y
hsa-mir-106b	2803	353.213290	N
hsa-mir-107	900	113.411331	Y
hsa-mir-10a	95678	12056.632578	N
hsa-mir-10b	21980	2769.756726	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	71	8.946894	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.504050	N
hsa-mir-1185-2	1	0.126013	N
hsa-mir-1193	1	0.126013	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	151709	19117.244004	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.504050	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	40	5.040504	N
hsa-mir-1229	4	0.504050	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.126013	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	375	47.254721	N
hsa-mir-1248	5	0.630063	N
hsa-mir-1249	10	1.260126	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.126013	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.378038	N
hsa-mir-1254-2	1	0.126013	N
hsa-mir-1255a	2	0.252025	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.126013	N
hsa-mir-125a	2700	340.233993	N
hsa-mir-125b-1	2084	262.610237	N
hsa-mir-125b-2	2081	262.232200	N
hsa-mir-126	53419	6731.466541	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.630063	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	20	2.520252	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	505	63.636358	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3761	473.933351	N
hsa-mir-1270	5	0.630063	N
hsa-mir-1271	14	1.764176	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.126013	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	1.512151	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	440	55.445540	N
