miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53207	12077.356642	N
hsa-let-7a-2	52968	12023.106482	Y
hsa-let-7a-3	53488	12141.140302	N
hsa-let-7b	52006	11804.743915	N
hsa-let-7c	27860	6323.888888	Y
hsa-let-7d	2380	540.231714	N
hsa-let-7e	2669	605.831279	N
hsa-let-7f-1	30679	6963.768384	N
hsa-let-7f-2	31605	7173.959379	N
hsa-let-7g	4857	1102.481275	N
hsa-let-7i	1139	258.539463	N
hsa-mir-1-1	11	2.496869	N
hsa-mir-1-2	9	2.042893	N
hsa-mir-100	40683	9234.557488	Y
hsa-mir-101-1	131094	29756.779965	N
hsa-mir-101-2	131135	29766.086477	N
hsa-mir-103a-1	28585	6488.455271	Y
hsa-mir-103a-2	28778	6532.263977	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	51	11.576394	Y
hsa-mir-106b	2175	493.699150	N
hsa-mir-107	560	127.113344	Y
hsa-mir-10a	95000	21563.870937	N
hsa-mir-10b	3548	805.353832	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	31	7.036632	N
hsa-mir-1181	2	0.453976	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.226988	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	239876	54449.001105	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.453976	N
hsa-mir-1226	1	0.226988	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	4.312774	N
hsa-mir-1229	5	1.134941	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.907952	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	88	19.974954	N
hsa-mir-1248	16	3.631810	N
hsa-mir-1249	7	1.588917	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	4	0.907952	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	98	22.244835	N
hsa-mir-125a	1764	400.407035	N
hsa-mir-125b-1	2653	602.199469	N
hsa-mir-125b-2	2865	650.320950	N
hsa-mir-126	39449	8954.454154	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.453976	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.453976	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	1.588917	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3297	748.379816	N
hsa-mir-1270	2	0.453976	N
hsa-mir-1271	14	3.177834	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.226988	N
hsa-mir-1275	3	0.680964	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	17	3.858798	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	613	139.143715	N
hsa-mir-128-2	389	88.298377	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.226988	N
hsa-mir-1285-1	1	0.226988	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	122	27.692550	N
hsa-mir-1288	2	0.453976	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.453976	N
hsa-mir-129-2	2	0.453976	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	1.588917	N
hsa-mir-1292	1	0.226988	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	5	1.134941	N
hsa-mir-1295a	1	0.226988	N
hsa-mir-1295b	199	45.170635	N
hsa-mir-1296	41	9.306513	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	8.398560	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.226988	N
hsa-mir-1304	3	0.680964	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	52	11.803382	N
hsa-mir-1307	9342	2120.522972	N
hsa-mir-130a	541	122.800570	N
hsa-mir-130b	197	44.716659	N
hsa-mir-132	185	41.992801	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.815905	Y
hsa-mir-133a-2	8	1.815905	Y
hsa-mir-133b	3	0.680964	Y
hsa-mir-134	1598	362.727008	N
hsa-mir-1343	3	0.680964	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	2	0.453976	N
hsa-mir-136	224	50.845338	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.226988	N
hsa-mir-138-2	3	0.680964	N
hsa-mir-139	2069	469.638410	N
hsa-mir-140	3893	883.664732	N
hsa-mir-141	17	3.858798	N
hsa-mir-142	10688	2426.048975	N
hsa-mir-143	218755	49654.785125	N
hsa-mir-144	1394	316.421432	N
hsa-mir-145	6666	1513.102775	N
hsa-mir-1468	104	23.606764	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	376	85.347531	N
hsa-mir-146b	4775	1083.868250	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	1.134941	N
hsa-mir-148a	645233	146460.222489	N
hsa-mir-148b	840	190.670017	N
hsa-mir-149	28	6.355667	N
hsa-mir-150	1284	291.452740	N
hsa-mir-151a	10714	2431.950665	N
hsa-mir-151b	20	4.539762	N
hsa-mir-152	3103	704.344121	N
hsa-mir-153-1	5	1.134941	N
hsa-mir-153-2	56	12.711334	N
hsa-mir-1537	2	0.453976	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	35	7.944584	N
hsa-mir-155	358	81.261745	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	625	141.867572	N
hsa-mir-15b	1270	288.274906	N
hsa-mir-16-1	1478	335.488434	N
hsa-mir-16-2	1550	351.831578	N
hsa-mir-17	3124	709.110872	Y
hsa-mir-181a-1	1497	339.801208	Y
hsa-mir-181a-2	4458	1011.913017	N
hsa-mir-181b-1	253	57.427993	N
hsa-mir-181b-2	214	48.575457	N
hsa-mir-181c	89	20.201942	Y
hsa-mir-181d	16	3.631810	N
hsa-mir-182	3132	710.926777	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	912	207.013161	N
hsa-mir-184	9	2.042893	N
hsa-mir-185	363	82.396686	N
hsa-mir-186	1218	276.471524	N
