miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	71818	10911.392528	N
hsa-let-7a-2	71459	10856.849239	Y
hsa-let-7a-3	71388	10846.062126	N
hsa-let-7b	47901	7277.654815	N
hsa-let-7c	11716	1780.025549	Y
hsa-let-7d	3310	502.892162	N
hsa-let-7e	5338	811.008568	N
hsa-let-7f-1	33374	5070.550757	N
hsa-let-7f-2	33941	5156.695728	N
hsa-let-7g	5283	802.652354	N
hsa-let-7i	2379	361.444246	N
hsa-mir-1-1	19	2.886692	N
hsa-mir-1-2	19	2.886692	N
hsa-mir-100	29081	4418.310258	Y
hsa-mir-101-1	81848	12435.262130	N
hsa-mir-101-2	83486	12684.125381	N
hsa-mir-103a-1	95252	14471.747488	Y
hsa-mir-103a-2	95028	14437.714907	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	210	31.905545	N
hsa-mir-105-2	185	28.107266	N
hsa-mir-106a	107	16.256635	Y
hsa-mir-106b	4416	670.928032	N
hsa-mir-107	1255	190.673614	Y
hsa-mir-10a	90826	13799.300144	N
hsa-mir-10b	34474	5237.675040	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	14.889254	N
hsa-mir-1181	2	0.303862	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.303862	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	111075	16875.754338	N
hsa-mir-1224	1	0.151931	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	2.127036	N
hsa-mir-1227	1	0.151931	N
hsa-mir-1228	24	3.646348	N
hsa-mir-1229	2	0.303862	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.151931	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.151931	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.455794	N
