miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25606	6078.673792	N
hsa-let-7a-2	25356	6019.325653	N
hsa-let-7a-3	25707	6102.650440	N
hsa-let-7b	21495	5102.752994	N
hsa-let-7c	5380	1277.171952	N
hsa-let-7d	2009	476.921645	N
hsa-let-7e	3285	779.834547	N
hsa-let-7f-1	16572	3934.069440	N
hsa-let-7f-2	17503	4155.081910	N
hsa-let-7g	3248	771.051022	N
hsa-let-7i	1597	379.115912	N
hsa-mir-1-1	54	12.819198	N
hsa-mir-1-2	40	9.495702	N
hsa-mir-100	14753	3502.252381	N
hsa-mir-101-1	21097	5008.270757	N
hsa-mir-101-2	21259	5046.728351	N
hsa-mir-103a-1	63710	15124.279751	Y
hsa-mir-103a-2	63917	15173.420010	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.237393	N
hsa-mir-106a	37	8.783525	Y
hsa-mir-106b	879	208.668057	N
hsa-mir-107	439	104.215332	Y
hsa-mir-10a	150103	35633.334853	N
hsa-mir-10b	311544	73958.226507	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	81	19.228797	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.237393	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	78365	18603.267661	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.661748	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	3.086103	N
hsa-mir-1229	10	2.373926	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.474785	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
