miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38568	9010.604422	N
hsa-let-7a-2	38839	9073.917889	N
hsa-let-7a-3	38268	8940.515713	N
hsa-let-7b	41317	9652.850625	N
hsa-let-7c	20184	4715.568338	N
hsa-let-7d	1504	351.378061	N
hsa-let-7e	2195	512.815720	N
hsa-let-7f-1	15965	3729.887461	N
hsa-let-7f-2	16623	3883.615363	N
hsa-let-7g	3201	747.846524	N
hsa-let-7i	1156	270.075158	N
hsa-mir-1-1	18	4.205323	N
hsa-mir-1-2	15	3.504435	N
hsa-mir-100	37190	8688.663619	N
hsa-mir-101-1	86741	20265.215675	N
hsa-mir-101-2	88229	20612.855671	N
hsa-mir-103a-1	31497	7358.613552	Y
hsa-mir-103a-2	31516	7363.052503	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	41	9.578790	N
hsa-mir-105-2	50	11.681451	N
hsa-mir-106a	30	7.008871	Y
hsa-mir-106b	1679	392.263141	N
hsa-mir-107	369	86.209112	Y
hsa-mir-10a	36838	8606.426200	N
hsa-mir-10b	10894	2545.154651	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	45	10.513306	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.233629	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	96174	22469.038313	N
