miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68407	11457.528157	N
hsa-let-7a-2	67673	11334.590071	N
hsa-let-7a-3	68261	11433.074532	N
hsa-let-7b	43703	7319.840850	N
hsa-let-7c	11521	1929.658981	N
hsa-let-7d	3192	534.629934	N
hsa-let-7e	1588	265.975042	N
hsa-let-7f-1	58170	9742.927082	N
hsa-let-7f-2	59197	9914.939909	N
hsa-let-7g	5895	987.356974	N
hsa-let-7i	1784	298.803196	N
hsa-mir-1-1	6	1.004943	N
hsa-mir-1-2	1	0.167491	N
hsa-mir-100	31661	5302.919277	Y
hsa-mir-101-1	129274	21652.177336	N
hsa-mir-101-2	129796	21739.607419	N
hsa-mir-103a-1	49700	8324.281863	Y
hsa-mir-103a-2	49465	8284.921577	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.334981	N
hsa-mir-105-2	1	0.167491	N
hsa-mir-106a	46	7.704567	Y
hsa-mir-106b	2400	401.977394	N
hsa-mir-107	1051	176.032600	Y
hsa-mir-10a	23705	3970.364217	N
hsa-mir-10b	90341	15131.266555	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.167491	N
hsa-mir-1180	81	13.566737	N
hsa-mir-1181	13	2.177378	N
hsa-mir-1182	2	0.334981	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	3	0.502472	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	213666	35787.042426	N
hsa-mir-1224	6	1.004943	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	32	5.359699	N
hsa-mir-1229	2	0.334981	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.167491	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	1.004943	N
hsa-mir-1248	1	0.167491	N
hsa-mir-1249	9	1.507415	N
hsa-mir-1250	2	0.334981	N
hsa-mir-1251	1	0.167491	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.167491	N
hsa-mir-1254-2	2	0.334981	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.167491	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	387	64.818855	N
hsa-mir-125b-1	976	163.470807	N
hsa-mir-125b-2	1221	204.505999	N
hsa-mir-126	32449	5434.901855	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	7	1.172434	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	6.029661	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	44051	7378.127573	N
hsa-mir-1269b	30	5.024717	N
hsa-mir-127	648	108.533896	N
hsa-mir-1270	7	1.172434	N
hsa-mir-1271	4	0.669962	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.167491	N
hsa-mir-1275	4	0.669962	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	34	5.694680	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	612	102.504235	N
hsa-mir-128-2	470	78.720573	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.167491	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	340	56.946797	N
hsa-mir-1288	1	0.167491	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.167491	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.339925	N
hsa-mir-1292	2	0.334981	N
hsa-mir-1293	2	0.334981	N
hsa-mir-1294	5	0.837453	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	214	35.842984	N
hsa-mir-1296	10	1.674906	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	67	11.221869	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	58	9.714454	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.334981	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.167491	N
hsa-mir-1304	2	0.334981	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	112	18.758945	N
hsa-mir-1307	10476	1754.631324	N
hsa-mir-130a	277	46.394891	N
hsa-mir-130b	160	26.798493	N
hsa-mir-132	222	37.182909	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.334981	Y
hsa-mir-133a-2	4	0.669962	Y
hsa-mir-133b	2	0.334981	Y
hsa-mir-134	253	42.375117	N
hsa-mir-1343	11	1.842396	N
hsa-mir-135a-1	3	0.502472	N
hsa-mir-135a-2	7	1.172434	N
hsa-mir-135b	3	0.502472	N
hsa-mir-136	12	2.009887	N
hsa-mir-137	2	0.334981	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	390	65.321326	N
hsa-mir-140	10871	1820.790103	N
hsa-mir-141	20	3.349812	N
hsa-mir-142	14863	2489.412502	N
hsa-mir-143	47853	8014.926761	N
hsa-mir-144	9768	1636.047993	N
hsa-mir-145	472	79.055554	N
hsa-mir-1468	106	17.754002	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	347	58.119232	N
hsa-mir-146b	3147	527.092858	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.167491	N
hsa-mir-148a	1549038	259449.274221	N
hsa-mir-148b	1787	299.305668	N
hsa-mir-149	25	4.187265	N
hsa-mir-150	1224	205.008471	N
hsa-mir-151a	16373	2742.323279	N
hsa-mir-151b	48	8.039548	N
hsa-mir-152	1823	305.335329	N
hsa-mir-153-1	3	0.502472	N
hsa-mir-153-2	67	11.221869	N
hsa-mir-1537	4	0.669962	N
hsa-mir-1538	3	0.502472	N
hsa-mir-1539	1	0.167491	N
hsa-mir-154	7	1.172434	N
hsa-mir-155	1389	232.644417	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1006	168.495524	N
hsa-mir-15b	2082	348.715389	N
hsa-mir-16-1	3048	510.511290	N
hsa-mir-16-2	3033	507.998931	N
hsa-mir-17	2397	401.474922	Y
hsa-mir-181a-1	1331	222.929963	N
hsa-mir-181a-2	1413	236.664191	N
hsa-mir-181b-1	198	33.163135	N
hsa-mir-181b-2	176	29.478342	N
hsa-mir-181c	69	11.556850	N
hsa-mir-181d	7	1.172434	N
hsa-mir-182	23489	3934.186251	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6310	1056.865565	N
hsa-mir-184	208	34.838041	N
hsa-mir-185	660	110.543783	N
hsa-mir-186	1909	319.739519	N
hsa-mir-187	1	0.167491	N
hsa-mir-188	50	8.374529	N
hsa-mir-18a	48	8.039548	Y
hsa-mir-18b	5	0.837453	Y
hsa-mir-1908	1	0.167491	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	35	5.862170	N
hsa-mir-190b	3	0.502472	N
hsa-mir-191	4680	783.855918	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	111	18.591454	N
hsa-mir-1912	47	7.872057	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	3	0.502472	N
hsa-mir-192	371581	62236.317485	Y
hsa-mir-193a	2568	430.115811	N
hsa-mir-193b	1141	191.106753	N
hsa-mir-194-1	53091	8892.242423	N
hsa-mir-194-2	56173	9408.448392	N
hsa-mir-195	112	18.758945	N
hsa-mir-196a-1	3	0.502472	N
hsa-mir-196a-2	5	0.837453	N
hsa-mir-196b	1177	197.136414	N
hsa-mir-197	1399	234.319322	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	44	7.369586	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	136	22.778719	Y
hsa-mir-199a-2	251	42.040136	Y
hsa-mir-199b	324	54.266948	Y
hsa-mir-19a	52	8.709510	N
hsa-mir-19b-1	230	38.522834	N
hsa-mir-19b-2	180	30.148305	N
hsa-mir-200a	62	10.384416	N
hsa-mir-200b	48	8.039548	N
hsa-mir-200c	149	24.956097	N
hsa-mir-202	1	0.167491	N
hsa-mir-203a	458	76.710686	N
hsa-mir-203b	1	0.167491	N
hsa-mir-204	336	56.276835	N
hsa-mir-205	1	0.167491	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	979	163.973279	N
hsa-mir-20b	68	11.389359	N
hsa-mir-21	1171701	196248.880954	N
hsa-mir-210	686	114.898538	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	11	1.842396	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	192	32.158192	N
hsa-mir-2115	1	0.167491	N
hsa-mir-2116	6	1.004943	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	20	3.349812	N
hsa-mir-214	4	0.669962	N
hsa-mir-215	4226	707.815194	Y
hsa-mir-216a	22	3.684793	N
hsa-mir-216b	27	4.522246	N
hsa-mir-217	1103	184.742111	N
hsa-mir-218-1	3	0.502472	N
hsa-mir-218-2	2	0.334981	N
hsa-mir-219a-1	23	3.852283	N
hsa-mir-219a-2	2	0.334981	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	717066	120101.800775	N
hsa-mir-221	731	122.435615	N
hsa-mir-222	244	40.867702	N
hsa-mir-223	537	89.942442	N
hsa-mir-224	18	3.014830	N
hsa-mir-2276	5	0.837453	N
hsa-mir-2277	7	1.172434	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	221	37.015418	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	7352	1231.390750	Y
hsa-mir-23b	7867	1317.648399	Y
hsa-mir-23c	5	0.837453	N
hsa-mir-24-1	3140	525.920424	N
hsa-mir-24-2	2925	489.909949	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	29757	4984.017211	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	11706	1960.644738	N
hsa-mir-26a-2	11736	1965.669456	N
hsa-mir-26b	9618	1610.924406	N
hsa-mir-27a	2840	475.673249	Y
hsa-mir-27b	11070	1854.120729	Y
hsa-mir-28	18585	3112.812443	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	5	0.837453	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	1	0.167491	N
hsa-mir-29a	87466	14649.731136	N
hsa-mir-29b-1	2715	454.736927	Y
hsa-mir-29b-2	2861	479.190552	Y
hsa-mir-29c	39488	6613.868053	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	29	4.857227	N
hsa-mir-301b	6	1.004943	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.167491	N
hsa-mir-3065	597	99.991877	N
hsa-mir-3074	31	5.192208	N
hsa-mir-30a	15663	2623.404966	Y
hsa-mir-30b	1054	176.535072	Y
hsa-mir-30c-1	1028	172.180317	Y
hsa-mir-30c-2	1003	167.993052	Y
hsa-mir-30d	27408	4590.581837	N
hsa-mir-30e	177040	29652.532416	Y
hsa-mir-31	0	0.000000	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	1	0.167491	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	8	1.339925	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	4	0.669962	N
hsa-mir-3130-1	1	0.167491	N
hsa-mir-3130-2	1	0.167491	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.167491	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	5	0.837453	N
hsa-mir-3145	1	0.167491	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	2	0.334981	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	1	0.167491	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	2	0.334981	N
hsa-mir-3158-1	1	0.167491	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.167491	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	7	1.172434	N
hsa-mir-3171	1	0.167491	N
hsa-mir-3173	2	0.334981	N
hsa-mir-3174	1	0.167491	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	1	0.167491	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	1	0.167491	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	1	0.167491	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	1	0.167491	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	2	0.334981	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	1	0.167491	N
hsa-mir-3192	1	0.167491	N
