miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66661	18051.574845	N
hsa-let-7a-2	66651	18048.866879	Y
hsa-let-7a-3	66663	18052.116438	N
hsa-let-7b	42270	11446.573989	N
hsa-let-7c	18204	4929.582042	Y
hsa-let-7d	2666	721.943843	N
hsa-let-7e	1322	357.993159	N
hsa-let-7f-1	32610	8830.678443	N
hsa-let-7f-2	34938	9461.093022	N
hsa-let-7g	5174	1401.101817	N
hsa-let-7i	761	206.076243	N
hsa-mir-1-1	1	0.270797	N
hsa-mir-1-2	5	1.353983	N
hsa-mir-100	21194	5739.263996	N
hsa-mir-101-1	43869	11879.577817	N
hsa-mir-101-2	45338	12277.378082	N
hsa-mir-103a-1	80254	21732.513578	Y
hsa-mir-103a-2	80709	21855.726049	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	517	140.001863	N
hsa-mir-105-2	534	144.605406	N
hsa-mir-106a	18	4.874340	Y
hsa-mir-106b	2391	647.474767	N
hsa-mir-107	722	195.515174	Y
hsa-mir-10a	16569	4486.829535	N
hsa-mir-10b	120959	32755.290825	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	152	41.161089	N
hsa-mir-1181	2	0.541593	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	125399	33957.627908	N
hsa-mir-1224	1	0.270797	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.541593	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.270797	N
hsa-mir-1229	1	0.270797	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.270797	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	1.083187	N
hsa-mir-1248	2	0.541593	N
hsa-mir-1249	1	0.270797	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.812390	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.270797	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	436	118.067335	N
hsa-mir-125b-1	1660	449.522423	N
hsa-mir-125b-2	1742	471.727748	N
hsa-mir-126	8290	2244.904149	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.270797	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	10.019476	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2785	754.168643	N
hsa-mir-1269b	1	0.270797	N
hsa-mir-127	452	122.400081	N
hsa-mir-1270	31	8.394696	N
hsa-mir-1271	7	1.895576	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	15	4.061950	N
hsa-mir-1278	3	0.812390	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1102	298.417898	N
hsa-mir-128-2	487	131.877964	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	1.624780	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	6	1.624780	N
hsa-mir-1288	3	0.812390	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.270797	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.083187	N
hsa-mir-1292	1	0.270797	N
hsa-mir-1293	1	0.270797	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	22	5.957526	N
hsa-mir-1295b	97	26.267274	N
hsa-mir-1296	17	4.603543	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	7	1.895576	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.270797	N
hsa-mir-1304	2	0.541593	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	42	11.373459	N
hsa-mir-1307	4301	1164.696350	N
hsa-mir-130a	73	19.768155	N
hsa-mir-130b	188	50.909768	N
hsa-mir-132	121	32.766393	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.541593	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.270797	N
hsa-mir-133a-2	1	0.270797	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	133	36.015953	N
hsa-mir-1343	4	1.083187	N
hsa-mir-135a-1	8	2.166373	N
hsa-mir-135a-2	11	2.978763	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	15	4.061950	N
hsa-mir-137	3	0.812390	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	518	140.272660	N
hsa-mir-140	9362	2535.198147	N
hsa-mir-141	10	2.707966	N
hsa-mir-142	1127	305.187814	N
hsa-mir-143	33115	8967.430746	N
hsa-mir-144	747	202.285090	N
hsa-mir-145	824	223.136432	N
hsa-mir-1468	27	7.311509	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	82	22.205325	N
hsa-mir-146b	455	123.212471	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.541593	N
hsa-mir-148a	638336	172859.244239	N
hsa-mir-148b	802	217.178906	N
hsa-mir-149	51	13.810629	N
hsa-mir-150	233	63.095617	N
hsa-mir-151a	8994	2435.544984	N
hsa-mir-151b	9	2.437170	N
hsa-mir-152	1291	349.598463	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	4	1.083187	N
hsa-mir-1537	1	0.270797	N
hsa-mir-1538	2	0.541593	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	4	1.083187	N
hsa-mir-155	84	22.746918	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1333	360.971922	N
hsa-mir-15b	2466	667.784515	N
hsa-mir-16-1	1074	290.835592	N
hsa-mir-16-2	1044	282.711693	N
hsa-mir-17	9260	2507.576890	Y
hsa-mir-181a-1	1270	343.911733	N
hsa-mir-181a-2	1982	536.718941	N
hsa-mir-181b-1	171	46.306226	N
hsa-mir-181b-2	177	47.931005	N
hsa-mir-181c	32	8.665492	N
hsa-mir-181d	7	1.895576	N
hsa-mir-182	3841	1040.129896	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1285	347.973683	N
hsa-mir-184	32	8.665492	N
hsa-mir-185	629	170.331087	N
hsa-mir-186	2093	566.777368	N
hsa-mir-187	1	0.270797	N
hsa-mir-188	12	3.249560	N
hsa-mir-18a	119	32.224800	N
hsa-mir-18b	0	0.000000	N
