miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68803	14229.972807	N
hsa-let-7a-2	68655	14199.363154	Y
hsa-let-7a-3	68962	14262.857502	N
hsa-let-7b	59249	12253.995594	N
hsa-let-7c	32145	6648.292602	Y
hsa-let-7d	2459	508.575253	N
hsa-let-7e	4217	872.168297	N
hsa-let-7f-1	58805	12162.166634	N
hsa-let-7f-2	59792	12366.299930	N
hsa-let-7g	6686	1382.811770	N
hsa-let-7i	1847	382.000200	N
hsa-mir-1-1	47	9.720633	N
hsa-mir-1-2	58	11.995675	N
hsa-mir-100	26976	5579.229778	Y
hsa-mir-101-1	92853	19204.041467	N
hsa-mir-101-2	94258	19494.626351	N
hsa-mir-103a-1	38581	7979.398876	Y
hsa-mir-103a-2	38767	8017.867765	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	37	7.652413	Y
hsa-mir-106b	1809	374.140965	N
hsa-mir-107	544	112.511158	Y
hsa-mir-10a	131518	27200.813389	N
hsa-mir-10b	7112	1470.917934	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	51	10.547921	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.206822	N
hsa-mir-1185-2	3	0.620466	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	196546	40650.033216	N
hsa-mir-1224	1	0.206822	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.827288	N
hsa-mir-1227	1	0.206822	N
hsa-mir-1228	20	4.136440	N
hsa-mir-1229	1	0.206822	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.827288	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.206822	N
hsa-mir-1247	77	15.925293	N
hsa-mir-1248	9	1.861398	N
hsa-mir-1249	14	2.895508	N
hsa-mir-1250	1	0.206822	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.413644	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.827288	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	100	20.682198	N
hsa-mir-125a	2058	425.639638	N
hsa-mir-125b-1	2243	463.901705	N
hsa-mir-125b-2	2502	517.468598	N
hsa-mir-126	53953	11158.666379	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.827288	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	2.895508	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	151	31.230119	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5556	1149.102930	N
hsa-mir-1270	2	0.413644	N
hsa-mir-1271	15	3.102330	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.413644	N
hsa-mir-1275	1	0.206822	N
hsa-mir-1276	5	1.034110	N
hsa-mir-1277	24	4.963728	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	444	91.828960	N
hsa-mir-128-2	324	67.010322	N
hsa-mir-1281	0	0.000000	N
