miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14649	4131.335229	N
hsa-let-7a-2	14451	4075.494941	Y
hsa-let-7a-3	14681	4140.359922	N
hsa-let-7b	11137	3140.875175	N
hsa-let-7c	6187	1744.867981	Y
hsa-let-7d	1479	417.110028	N
hsa-let-7e	1690	476.616597	N
hsa-let-7f-1	7753	2186.513894	N
hsa-let-7f-2	8064	2274.222628	N
hsa-let-7g	1921	541.763600	N
hsa-let-7i	548	154.547867	N
hsa-mir-1-1	7	1.974152	N
hsa-mir-1-2	14	3.948303	N
hsa-mir-100	10513	2964.893662	N
hsa-mir-101-1	23021	6492.420527	N
hsa-mir-101-2	22971	6478.319444	N
hsa-mir-103a-1	35652	10054.636055	Y
hsa-mir-103a-2	35911	10127.679664	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.282022	N
hsa-mir-106a	13	3.666282	Y
hsa-mir-106b	1260	355.347286	N
hsa-mir-107	363	102.373861	Y
hsa-mir-10a	58222	16419.864816	N
hsa-mir-10b	10183	2871.826516	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	27.638122	N
hsa-mir-1181	1	0.282022	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.282022	N
hsa-mir-1185-2	1	0.282022	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	92766	26162.020877	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.564043	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	3.666282	N
hsa-mir-1229	3	0.846065	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.282022	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.564043	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	91	25.663971	N
hsa-mir-1248	6	1.692130	N
hsa-mir-1249	5	1.410108	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	7	1.974152	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.282022	N
hsa-mir-1254-2	1	0.282022	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
