miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	34438	10883.615036	N
hsa-let-7a-2	34310	10843.162550	Y
hsa-let-7a-3	34278	10833.049429	N
hsa-let-7b	41673	13170.128620	N
hsa-let-7c	11598	3665.374505	Y
hsa-let-7d	1716	542.316145	N
hsa-let-7e	3040	960.746551	N
hsa-let-7f-1	14170	4478.216652	N
hsa-let-7f-2	14962	4728.516411	N
hsa-let-7g	3066	968.963462	N
hsa-let-7i	1233	389.671216	N
hsa-mir-1-1	4	1.264140	N
hsa-mir-1-2	8	2.528280	N
hsa-mir-100	11589	3662.530189	N
hsa-mir-101-1	83924	26522.925499	N
hsa-mir-101-2	84681	26762.164031	N
hsa-mir-103a-1	31271	9882.732035	Y
hsa-mir-103a-2	31407	9925.712801	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	43	13.589507	Y
hsa-mir-106b	1193	377.029814	N
hsa-mir-107	349	110.296232	Y
hsa-mir-10a	134087	42376.191689	N
hsa-mir-10b	4619	1459.765894	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	39	12.325367	N
hsa-mir-1181	2	0.632070	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.632070	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	83305	26327.299803	N
hsa-mir-1224	2	0.632070	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.316035	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	3.792421	N
hsa-mir-1229	2	0.632070	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.632070	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.632070	N
hsa-mir-1245b	1	0.316035	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	193	60.994765	N
hsa-mir-1248	4	1.264140	N
