miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	70009	8386.377339	N
hsa-let-7a-2	69365	8309.232586	N
hsa-let-7a-3	69986	8383.622169	N
hsa-let-7b	62385	7473.098463	N
hsa-let-7c	8688	1040.735424	N
hsa-let-7d	7954	952.809572	N
hsa-let-7e	5443	652.016910	N
hsa-let-7f-1	38930	4663.424271	N
hsa-let-7f-2	39522	4734.339945	N
hsa-let-7g	8698	1041.933324	N
hsa-let-7i	3665	439.030310	N
hsa-mir-1-1	49	5.869709	N
hsa-mir-1-2	43	5.150970	N
hsa-mir-100	49156	5888.396698	N
hsa-mir-101-1	73105	8757.247145	N
hsa-mir-101-2	74438	8916.927200	N
hsa-mir-103a-1	279309	33458.422033	Y
hsa-mir-103a-2	279310	33458.541823	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.119790	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	65	7.786349	Y
hsa-mir-106b	6078	728.083553	N
hsa-mir-107	2585	309.657122	Y
hsa-mir-10a	147949	17722.809080	N
hsa-mir-10b	703234	84240.393112	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.119790	N
hsa-mir-1180	199	23.838208	N
hsa-mir-1181	7	0.838530	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.119790	N
hsa-mir-1185-2	1	0.119790	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.119790	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	149714	17934.238411	N
hsa-mir-1224	2	0.239580	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	35	4.192650	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	36	4.312440	N
hsa-mir-1229	9	1.078110	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.119790	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.119790	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.718740	N
hsa-mir-1245b	1	0.119790	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	85	10.182149	N
hsa-mir-1248	12	1.437480	N
hsa-mir-1249	11	1.317690	N
hsa-mir-1250	2	0.239580	N
hsa-mir-1251	41	4.911390	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.598950	N
hsa-mir-1254-2	5	0.598950	N
hsa-mir-1255a	1	0.119790	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2718	325.589190	N
hsa-mir-125b-1	1488	178.247504	N
hsa-mir-125b-2	1541	184.596373	N
hsa-mir-126	67191	8048.809150	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.119790	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.239580	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	73	8.744669	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	1.677060	N
hsa-mir-1269b	3	0.359370	N
hsa-mir-127	3171	379.854055	N
hsa-mir-1270	13	1.557270	N
hsa-mir-1271	7	0.838530	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.119790	N
hsa-mir-1275	2	0.239580	N
hsa-mir-1276	1	0.119790	N
hsa-mir-1277	35	4.192650	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1378	165.070605	N
hsa-mir-128-2	935	112.003640	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.119790	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.598950	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.119790	N
hsa-mir-1287	347	41.567126	N
hsa-mir-1288	4	0.479160	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.359370	N
hsa-mir-129-2	6	0.718740	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.479160	N
hsa-mir-1292	3	0.359370	N
hsa-mir-1293	1	0.119790	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.119790	N
hsa-mir-1295b	174	20.843458	N
hsa-mir-1296	73	8.744669	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	222	26.593378	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.718740	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	126	15.093539	N
hsa-mir-1307	25824	3093.456675	N
hsa-mir-130a	454	54.384655	N
hsa-mir-130b	385	46.119146	N
hsa-mir-132	839	100.503801	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.119790	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	55	6.588449	Y
hsa-mir-133a-2	47	5.630129	Y
hsa-mir-133b	6	0.718740	Y
hsa-mir-134	946	113.321330	N
hsa-mir-1343	2	0.239580	N
hsa-mir-135a-1	71	8.505089	N
hsa-mir-135a-2	75	8.984249	N
hsa-mir-135b	31	3.713490	N
hsa-mir-136	160	19.166398	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	10	1.197900	N
hsa-mir-138-2	8	0.958320	N
hsa-mir-139	1039	124.461799	N
hsa-mir-140	16731	2004.206306	N
hsa-mir-141	110	13.176899	N
hsa-mir-142	39459	4726.793175	N
hsa-mir-143	433614	51942.616283	N
hsa-mir-144	1162	139.195967	N
hsa-mir-145	17552	2102.553887	N
hsa-mir-1468	66	7.906139	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1690	202.445081	N
hsa-mir-146b	15093	1807.990304	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.119790	N
hsa-mir-148a	809737	96998.386309	N
hsa-mir-148b	2492	298.516653	N
hsa-mir-149	98	11.739419	N
hsa-mir-150	20709	2480.730882	N
hsa-mir-151a	29442	3526.856856	N
hsa-mir-151b	19	2.276010	N
hsa-mir-152	2430	291.089673	N
hsa-mir-153-1	17	2.036430	N
hsa-mir-153-2	116	13.895639	N
hsa-mir-1537	3	0.359370	N
hsa-mir-1538	1	0.119790	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	29	3.473910	N
hsa-mir-155	8310	995.454808	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2098	251.319397	N
hsa-mir-15b	2664	319.120531	N
hsa-mir-16-1	2168	259.704696	N
hsa-mir-16-2	2248	269.287895	N
hsa-mir-17	13468	1613.331572	Y
hsa-mir-181a-1	9413	1127.583166	N
hsa-mir-181a-2	19229	2303.441698	N
hsa-mir-181b-1	1743	208.793951	N
hsa-mir-181b-2	1761	210.950171	N
hsa-mir-181c	373	44.681666	N
hsa-mir-181d	78	9.343619	N
hsa-mir-182	164094	19656.818452	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	99401	11907.244695	N
hsa-mir-184	25	2.994750	N
hsa-mir-185	1305	156.325936	N
hsa-mir-186	2552	305.704052	N
hsa-mir-187	16	1.916640	N
hsa-mir-188	70	8.385299	N
hsa-mir-18a	296	35.457837	Y
hsa-mir-18b	3	0.359370	Y
