miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53652	13996.982087	N
hsa-let-7a-2	53157	13867.844196	Y
hsa-let-7a-3	53248	13891.584697	N
hsa-let-7b	45139	11776.071244	N
hsa-let-7c	19804	5166.559182	Y
hsa-let-7d	1277	333.149671	N
hsa-let-7e	808	210.794780	N
hsa-let-7f-1	21274	5550.059586	N
hsa-let-7f-2	23132	6034.783226	N
hsa-let-7g	3423	893.008083	N
hsa-let-7i	454	118.441621	N
hsa-mir-1-1	1	0.260885	N
hsa-mir-1-2	3	0.782654	N
hsa-mir-100	56000	14609.539194	N
hsa-mir-101-1	39642	10341.988442	N
hsa-mir-101-2	40333	10522.259720	N
hsa-mir-103a-1	68452	17858.074588	Y
hsa-mir-103a-2	68793	17947.036246	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	9	2.347962	Y
hsa-mir-106b	1149	299.756438	N
hsa-mir-107	906	236.361473	Y
hsa-mir-10a	12010	3133.224388	N
hsa-mir-10b	40107	10463.299794	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.521769	N
hsa-mir-1180	41	10.696270	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	186498	48654.461440	N
hsa-mir-1224	1	0.260885	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.521769	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.521769	N
hsa-mir-1229	1	0.260885	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	22	5.739462	N
hsa-mir-1248	10	2.608846	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.521769	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	211	55.046657	N
hsa-mir-125b-1	1386	361.586095	N
hsa-mir-125b-2	1446	377.239173	N
hsa-mir-126	13231	3451.764519	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.782654	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	1.043539	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	229	59.742580	N
hsa-mir-1269b	2	0.521769	N
hsa-mir-127	177	46.176579	N
hsa-mir-1270	1	0.260885	N
hsa-mir-1271	10	2.608846	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.260885	N
hsa-mir-1277	17	4.435039	N
hsa-mir-1278	1	0.260885	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	332	86.613697	N
hsa-mir-128-2	117	30.523502	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	16	4.174154	N
hsa-mir-1288	1	0.260885	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.304423	N
hsa-mir-1292	1	0.260885	N
