miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36909	7761.841493	N
hsa-let-7a-2	36568	7690.130312	Y
hsa-let-7a-3	36896	7759.107635	N
hsa-let-7b	39737	8356.560606	N
hsa-let-7c	13036	2741.427990	Y
hsa-let-7d	1315	276.540182	N
hsa-let-7e	3244	682.202547	N
hsa-let-7f-1	10804	2272.045720	N
hsa-let-7f-2	10654	2240.501213	N
hsa-let-7g	2295	482.630963	N
hsa-let-7i	1502	315.865668	N
hsa-mir-1-1	15	3.154451	N
hsa-mir-1-2	21	4.416231	N
hsa-mir-100	31128	6546.116177	N
hsa-mir-101-1	37658	7919.353733	N
hsa-mir-101-2	37793	7947.743790	N
hsa-mir-103a-1	56666	11916.673712	Y
hsa-mir-103a-2	56506	11883.026237	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	172	36.171035	N
hsa-mir-105-2	153	32.175398	N
hsa-mir-106a	67	14.089880	Y
hsa-mir-106b	3281	689.983525	N
hsa-mir-107	879	184.850813	Y
hsa-mir-10a	63746	13405.574461	N
hsa-mir-10b	14801	3112.601694	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.210297	N
hsa-mir-1180	244	51.312399	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	99676	20961.535469	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.051484	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	2.944154	N
hsa-mir-1229	12	2.523561	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.420593	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.210297	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.420593	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	33	6.939792	N
hsa-mir-1248	2	0.420593	N
hsa-mir-1249	18	3.785341	N
hsa-mir-1250	1	0.210297	N
hsa-mir-1251	2	0.420593	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.210297	N
hsa-mir-1254-2	2	0.420593	N
hsa-mir-1255a	2	0.420593	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.210297	N
hsa-mir-125a	1559	327.852580	N
hsa-mir-125b-1	1887	396.829903	N
hsa-mir-125b-2	2080	437.417169	N
hsa-mir-126	25360	5333.124719	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.210297	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	45	9.463352	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2804	589.671992	N
hsa-mir-1269b	1308	275.068105	N
hsa-mir-127	4048	851.281107	N
hsa-mir-1270	15	3.154451	N
hsa-mir-1271	9	1.892670	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	1.051484	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	9	1.892670	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	647	136.061975	N
hsa-mir-128-2	486	102.204204	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.210297	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.630890	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.210297	N
hsa-mir-1287	256	53.835959	N
hsa-mir-1288	1	0.210297	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.210297	N
hsa-mir-129-2	2	0.420593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.420593	N
hsa-mir-1292	3	0.630890	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.210297	N
hsa-mir-1295b	132	27.759167	N
hsa-mir-1296	9	1.892670	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	74	15.561957	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.420593	N
hsa-mir-1305	0	0.000000	N
