miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54621	9262.437248	N
hsa-let-7a-2	54885	9307.205441	N
hsa-let-7a-3	55712	9447.445195	N
hsa-let-7b	35667	6048.284530	N
hsa-let-7c	7657	1298.447154	N
hsa-let-7d	3562	604.031444	N
hsa-let-7e	5393	914.525990	N
hsa-let-7f-1	34774	5896.852728	N
hsa-let-7f-2	35585	6034.379258	N
hsa-let-7g	4477	759.193928	N
hsa-let-7i	2144	363.571986	N
hsa-mir-1-1	31	5.256871	N
hsa-mir-1-2	20	3.391530	N
hsa-mir-100	25542	4331.322608	Y
hsa-mir-101-1	51349	8707.582986	N
hsa-mir-101-2	51473	8728.610470	N
hsa-mir-103a-1	89141	15116.217549	Y
hsa-mir-103a-2	89738	15217.454711	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.356612	N
hsa-mir-105-2	5	0.847882	N
hsa-mir-106a	114	19.331719	Y
hsa-mir-106b	3745	635.063941	N
hsa-mir-107	1457	247.072940	Y
hsa-mir-10a	79088	13411.465134	N
hsa-mir-10b	19954	3383.729204	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.169576	N
hsa-mir-1180	222	37.645980	N
hsa-mir-1181	1	0.169576	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.847882	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	1.187035	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	122658	20799.912634	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.187035	N
hsa-mir-1227	1	0.169576	N
hsa-mir-1228	33	5.596024	N
hsa-mir-1229	7	1.187035	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.508729	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.169576	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.169576	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.508729	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	66	11.192048	N
hsa-mir-1248	8	1.356612	N
hsa-mir-1249	16	2.713224	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	1.526188	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.508729	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.508729	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.847882	N
hsa-mir-125a	2367	401.387543	N
hsa-mir-125b-1	1707	289.467062	N
hsa-mir-125b-2	1851	313.886076	N
hsa-mir-126	48424	8211.571764	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.169576	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.508729	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.339153	N
hsa-mir-1266	26	4.408989	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11173	1894.678079	N
hsa-mir-1269b	2	0.339153	N
hsa-mir-127	4854	823.124264	N
hsa-mir-1270	9	1.526188	N
hsa-mir-1271	24	4.069836	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.169576	N
hsa-mir-1276	6	1.017459	N
hsa-mir-1277	8	1.356612	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	955	161.945544	N
hsa-mir-128-2	667	113.107516	N
